id,price,users,start,months,rate,name
82625,39800,1,2026/07/16,1.4,0.71,"本物のAI搭載『GENSEN-AI』19,136種類のAIから、いま効くモデルだけを自動厳選"
82633,17500,5,2026/07/19,1.3,3.81,ホントに正しい後出しじゃんけんのやり方教えます
83073,50000,1,2026/07/24,1.1,0.87,SpikeEdge（スパイクエッジ）
83348,49800,0,2026/07/30,1.0,0.0,【FX】BLACK KOALA METHOD【AUD売り特化の完全無裁量ロジック】
83429,39800,2,2026/08/01,0.9,2.25,【ゴールドスキャルピングに特化】NODE HUNTER MT5 PRO【完全版】～迷わない。ブレない。勝ちを狙う。
83459,49800,1,2026/08/04,0.8,1.27,Gold Canon｜GOLD専用・サイン×半自動｜矢印に沿って動かす／見送るを選べる特化ロジック
83637,9800,2,2026/08/03,0.8,2.44,ドテンゴールド
83681,58000,53,2026/08/05,0.8,70.14,Gonzo Flanker
84036,7800,1,2026/08/11,0.6,1.79,ボリンジャー収束サイン全通貨検索
84047,16800,2,2026/08/13,0.5,4.0,大口投機筋COTリバージョンシグナル
84178,58800,2,2026/08/14,0.5,4.0,【単体版】ピラミッティング裁量補助EA(半裁量)の最高峰！tundere【R】
84387,28800,2,2026/08/17,0.5,4.0,【MT5版】nao式SMCインジの決定版！OB・FVG・UZ・7つの時間足を自動描画！【nao SMC】
84578,9800,1,2026/08/20,0.5,2.0,【MT5】複数上位足の抵抗帯を自動表示＆Discord通知するインジケーター「Zone Scope MTF」
84579,9800,1,2026/08/20,0.5,2.0,【MT4】複数上位足の抵抗帯を自動表示＆Discord通知するインジケーター「Zone Scope MTF」
84655,20000,8,2026/08/21,0.5,16.0,RSI-ONE
84684,7988,0,2026/08/22,0.5,0.0,ICT Core
