cal,date,name
CN,2024-01-01,元旦
CN,2024-02-10,春节
CN,2024-02-11,春节
CN,2024-02-12,春节
CN,2024-02-13,春节（补假）
CN,2024-02-14,春节（补假）
CN,2024-02-15,休息日（由 2024-02-04 调休）
CN,2024-02-16,休息日（由 2024-02-18 调休）
CN,2024-04-04,清明节
CN,2024-04-05,休息日（由 2024-04-07 调休）
CN,2024-05-01,劳动节
CN,2024-05-02,休息日（由 2024-04-28 调休）
CN,2024-05-03,休息日（由 2024-05-11 调休）
CN,2024-06-10,端午节
CN,2024-09-16,休息日（由 2024-09-14 调休）
CN,2024-09-17,中秋节
CN,2024-10-01,国庆节
CN,2024-10-02,国庆节
CN,2024-10-03,国庆节
CN,2024-10-04,休息日（由 2024-09-29 调休）
CN,2024-10-07,休息日（由 2024-10-12 调休）
CN,2025-01-01,元旦
CN,2025-01-28,农历除夕
CN,2025-01-29,春节
CN,2025-01-30,春节
CN,2025-01-31,春节
CN,2025-02-03,休息日（由 2025-01-26 调休）
CN,2025-02-04,休息日（由 2025-02-08 调休）
CN,2025-04-04,清明节
CN,2025-05-01,劳动节
CN,2025-05-02,劳动节
CN,2025-05-05,休息日（由 2025-04-27 调休）
CN,2025-05-31,端午节
CN,2025-06-02,端午节（补假）
CN,2025-10-01,国庆节
CN,2025-10-02,国庆节
CN,2025-10-03,国庆节
CN,2025-10-06,中秋节
CN,2025-10-07,休息日（由 2025-09-28 调休）
CN,2025-10-08,休息日（由 2025-10-11 调休）
CN,2026-01-01,元旦
CN,2026-01-02,休息日（由 2026-01-04 调休）
CN,2026-02-16,农历除夕
CN,2026-02-17,春节
CN,2026-02-18,春节
CN,2026-02-19,春节
CN,2026-02-20,休息日（由 2026-02-14 调休）
CN,2026-02-23,休息日（由 2026-02-28 调休）
CN,2026-04-05,清明节
CN,2026-04-06,清明节（补假）
CN,2026-05-01,劳动节
CN,2026-05-02,劳动节
CN,2026-05-04,劳动节（补假）
CN,2026-05-05,休息日（由 2026-05-09 调休）
CN,2026-06-19,端午节
CN,2026-09-25,中秋节
CN,2026-10-01,国庆节
CN,2026-10-02,国庆节
CN,2026-10-03,国庆节
CN,2026-10-05,国庆节（补假）
CN,2026-10-06,休息日（由 2026-09-20 调休）
CN,2026-10-07,休息日（由 2026-10-10 调休）
CN,2027-01-01,元旦
CN,2027-02-05,农历除夕
CN,2027-02-06,春节
CN,2027-02-07,春节
CN,2027-02-08,春节
CN,2027-02-09,春节（补假）
CN,2027-02-10,春节（补假）
CN,2027-04-05,清明节
CN,2027-05-01,劳动节
CN,2027-05-02,劳动节
CN,2027-05-03,劳动节（补假）
CN,2027-05-04,劳动节（补假）
CN,2027-06-09,端午节
CN,2027-09-15,中秋节
CN,2027-10-01,国庆节
CN,2027-10-02,国庆节
CN,2027-10-03,国庆节
CN,2027-10-04,国庆节（补假）
CN,2027-10-05,国庆节（补假）
HK,2016-01-01,一月一日
HK,2016-02-08,農曆年初一
HK,2016-02-09,農曆年初二
HK,2016-02-10,農曆年初三
HK,2016-04-04,清明節
HK,2016-05-01,勞動節
HK,2016-05-02,勞動節（補假）
HK,2016-06-09,端午節
HK,2016-07-01,香港特別行政區成立紀念日
HK,2016-09-16,中秋節翌日
HK,2016-10-01,國慶日
HK,2016-10-09,重陽節
HK,2016-10-10,重陽節（補假）
HK,2016-12-25,聖誕節
HK,2016-12-26,聖誕節（補假）
HK,2017-01-01,一月一日
HK,2017-01-02,一月一日（補假）
HK,2017-01-28,農曆年初一
HK,2017-01-30,農曆年初三
HK,2017-01-31,農曆年初四
HK,2017-04-04,清明節
HK,2017-05-01,勞動節
HK,2017-05-30,端午節
HK,2017-07-01,香港特別行政區成立紀念日
HK,2017-10-01,國慶日
HK,2017-10-02,國慶日（補假）
HK,2017-10-05,中秋節翌日
HK,2017-10-28,重陽節
HK,2017-12-25,聖誕節
HK,2018-01-01,一月一日
HK,2018-02-16,農曆年初一
HK,2018-02-17,農曆年初二
HK,2018-02-19,農曆年初四
HK,2018-04-05,清明節
HK,2018-05-01,勞動節
HK,2018-06-18,端午節
HK,2018-07-01,香港特別行政區成立紀念日
HK,2018-07-02,香港特別行政區成立紀念日（補假）
HK,2018-09-25,中秋節翌日
HK,2018-10-01,國慶日
HK,2018-10-17,重陽節
HK,2018-12-25,聖誕節
HK,2019-01-01,一月一日
HK,2019-02-05,農曆年初一
HK,2019-02-06,農曆年初二
HK,2019-02-07,農曆年初三
HK,2019-04-05,清明節
HK,2019-05-01,勞動節
HK,2019-06-07,端午節
HK,2019-07-01,香港特別行政區成立紀念日
HK,2019-09-14,中秋節翌日
HK,2019-10-01,國慶日
HK,2019-10-07,重陽節
HK,2019-12-25,聖誕節
HK,2020-01-01,一月一日
HK,2020-01-25,農曆年初一
HK,2020-01-27,農曆年初三
HK,2020-01-28,農曆年初四
HK,2020-04-04,清明節
HK,2020-05-01,勞動節
HK,2020-06-25,端午節
HK,2020-07-01,香港特別行政區成立紀念日
HK,2020-10-01,國慶日
HK,2020-10-02,中秋節翌日
HK,2020-10-25,重陽節
HK,2020-10-26,重陽節（補假）
HK,2020-12-25,聖誕節
HK,2021-01-01,一月一日
HK,2021-02-12,農曆年初一
HK,2021-02-13,農曆年初二
HK,2021-02-15,農曆年初四
HK,2021-04-04,清明節
HK,2021-04-05,清明節（補假）
HK,2021-05-01,勞動節
HK,2021-06-14,端午節
HK,2021-07-01,香港特別行政區成立紀念日
HK,2021-09-22,中秋節翌日
HK,2021-10-01,國慶日
HK,2021-10-14,重陽節
HK,2021-12-25,聖誕節
HK,2022-01-01,一月一日
HK,2022-02-01,農曆年初一
HK,2022-02-02,農曆年初二
HK,2022-02-03,農曆年初三
HK,2022-04-05,清明節
HK,2022-05-01,勞動節
HK,2022-05-02,勞動節（補假）
HK,2022-05-08,佛誕
HK,2022-05-09,佛誕（補假）
HK,2022-06-03,端午節
HK,2022-07-01,香港特別行政區成立紀念日
