cell,family,symbol,known,plus_in,n_in,rate_in,p_binom,cum_in_pct,mean_m_in_pct,plus_oos,n_oos,cum_oos_pct,worst_m_in_pct,maxdd_in_pct,sig_005,sig_bonf
ThuS NATGAS,ThuS,NATGAS,False,28,48,58,0.15616340373663462,180.7,2.51,8,12,20.35,-14.44,-24.04,False,False
Hold XAUUSD,Hold,XAUUSD,True,28,48,58,0.15616340373663462,113.6,1.67,7,12,13.0,-5.26,-20.67,False,False
Hold GER40,Hold,GER40,True,28,48,58,0.15616340373663462,52.8,0.98,8,12,6.43,-11.2,-26.7,False,False
ThuS ETHUSD,ThuS,ETHUSD,False,28,48,58,0.15616340373663462,32.0,0.97,10,12,101.8,-23.34,-38.01,False,False
Hold US30,Hold,US30,False,28,48,58,0.15616340373663462,33.8,0.71,10,12,12.63,-8.88,-22.25,False,False
Hold GBPJPY,Hold,GBPJPY,False,28,48,58,0.15616340373663462,29.7,0.57,9,12,3.9,-3.6,-11.66,False,False
Hold AUDJPY,Hold,AUDJPY,False,28,48,58,0.15616340373663462,18.8,0.4,8,12,12.41,-6.6,-20.76,False,False
FriS HK50,FriS,HK50,False,28,48,58,0.15616340373663462,16.2,0.37,6,12,10.55,-7.42,-19.89,False,False
Mon NZDJPY,Mon,NZDJPY,True,28,48,58,0.15616340373663462,18.5,0.36,8,12,3.41,-2.21,-3.32,False,False
FriS US2000,FriS,US2000,False,28,48,58,0.15616340373663462,15.8,0.32,6,12,2.44,-4.36,-10.93,False,False
FriS GBPCHF,FriS,GBPCHF,False,28,48,58,0.15616340373663462,13.8,0.27,6,12,0.92,-1.61,-5.94,False,False
ThuS NZDJPY,ThuS,NZDJPY,False,28,48,58,0.15616340373663462,12.6,0.26,7,12,4.68,-2.67,-5.82,False,False
Tue AUS200,Tue,AUS200,False,28,48,58,0.15616340373663462,10.7,0.22,8,12,1.87,-2.53,-7.67,False,False
FriS EURCHF,FriS,EURCHF,False,28,48,58,0.15616340373663462,10.6,0.21,7,12,2.42,-0.73,-1.74,False,False
ThuS GBPCHF,ThuS,GBPCHF,False,28,48,58,0.15616340373663462,10.1,0.21,9,12,4.39,-1.73,-6.45,False,False
Hold EURCAD,Hold,EURCAD,False,28,48,58,0.15616340373663462,7.7,0.17,5,12,-2.2,-3.69,-12.57,False,False
Fri CHFJPY,Fri,CHFJPY,False,28,48,58,0.15616340373663462,7.6,0.16,5,12,0.24,-3.54,-5.77,False,False
Tue CHFJPY,Tue,CHFJPY,False,28,48,58,0.15616340373663462,6.6,0.14,8,12,1.69,-3.19,-6.66,False,False
FriS AUDNZD,FriS,AUDNZD,False,28,48,58,0.15616340373663462,7.1,0.14,6,12,0.22,-1.47,-2.13,False,False
ThuS NZDUSD,ThuS,NZDUSD,False,28,48,58,0.15616340373663462,5.6,0.12,8,12,2.33,-4.53,-5.57,False,False
