cell,family,symbol,known,plus_in,n_in,rate_in,p_binom,cum_in_pct,mean_m_in_pct,plus_oos,n_oos,cum_oos_pct,worst_m_in_pct,maxdd_in_pct,sig_005,sig_bonf
Wed AUDUSD,Wed,AUDUSD,False,25,48,52,0.4427167486432566,-1.1,-0.01,8,12,-0.46,-2.77,-15.12,False,False
Tue AUDJPY,Tue,AUDJPY,False,25,48,52,0.4427167486432566,-1.0,-0.01,9,12,5.73,-3.77,-14.75,False,False
WedS GBPUSD,WedS,GBPUSD,False,25,48,52,0.4427167486432566,-0.9,-0.02,8,12,0.67,-1.83,-7.18,False,False
Hold EURGBP,Hold,EURGBP,False,25,48,52,0.4427167486432566,-1.3,-0.02,3,12,-2.16,-2.84,-17.03,False,False
Thu USDCAD,Thu,USDCAD,False,25,48,52,0.4427167486432566,-2.0,-0.04,6,12,-0.07,-2.36,-7.69,False,False
FriS CADJPY,FriS,CADJPY,False,25,48,52,0.4427167486432566,-2.3,-0.04,6,12,-2.07,-3.51,-15.32,False,False
Tue USDCHF,Tue,USDCHF,False,25,48,52,0.4427167486432566,-3.1,-0.06,6,12,-2.1,-2.31,-9.16,False,False
Tue GBPUSD,Tue,GBPUSD,False,25,48,52,0.4427167486432566,-3.4,-0.07,5,12,-1.99,-3.09,-7.49,False,False
Wed USDCAD,Wed,USDCAD,False,25,48,52,0.4427167486432566,-3.9,-0.08,4,12,-0.22,-2.42,-7.12,False,False
Wed GBPAUD,Wed,GBPAUD,False,25,48,52,0.4427167486432566,-4.0,-0.08,4,12,-1.68,-2.8,-7.41,False,False
Tue US30,Tue,US30,False,25,48,52,0.4427167486432566,-4.7,-0.09,7,12,5.28,-4.38,-15.56,False,False
MonS US2000,MonS,US2000,False,25,48,52,0.4427167486432566,-7.9,-0.15,5,11,-2.68,-6.25,-14.92,False,False
Thu FR40,Thu,FR40,False,25,48,52,0.4427167486432566,-8.3,-0.16,5,12,-3.99,-6.75,-17.28,False,False
Fri AUDJPY,Fri,AUDJPY,False,25,48,52,0.4427167486432566,-10.1,-0.21,5,12,-0.04,-4.48,-14.48,False,False
Fri NAS100,Fri,NAS100,False,25,48,52,0.4427167486432566,-16.8,-0.34,7,12,5.96,-7.88,-27.11,False,False
WedS ETHUSD,WedS,ETHUSD,False,25,48,52,0.4427167486432566,-55.8,-1.32,5,12,-14.47,-21.69,-65.75,False,False
Wed BTCUSD,Wed,BTCUSD,False,24,48,50,0.5572832513567434,49.3,1.09,4,12,-2.88,-12.03,-32.39,False,False
Fri WTI,Fri,WTI,False,24,48,50,0.5572832513567434,44.6,0.93,5,12,42.39,-13.89,-30.33,False,False
Wed GER40,Wed,GER40,False,24,48,50,0.5572832513567434,21.9,0.44,4,12,-5.88,-4.74,-8.63,False,False
FriS FR40,FriS,FR40,False,24,48,50,0.5572832513567434,22.1,0.44,8,12,11.52,-3.44,-10.85,False,False
Wed FR40,Wed,FR40,False,24,48,50,0.5572832513567434,17.4,0.36,6,12,3.86,-4.56,-9.47,False,False
Hold US2000,Hold,US2000,False,24,48,50,0.5572832513567434,7.9,0.35,8,12,18.47,-10.0,-33.75,False,False
ThuS UK100,ThuS,UK100,False,24,48,50,0.5572832513567434,9.6,0.21,5,12,7.44,-4.01,-13.4,False,False
FriS EUSTX50,FriS,EUSTX50,False,24,48,50,0.5572832513567434,8.1,0.18,5,12,8.05,-3.43,-12.1,False,False
Hold USDCAD,Hold,USDCAD,False,24,48,50,0.5572832513567434,6.5,0.15,6,12,-1.18,-3.42,-8.0,False,False
ThuS US2000,ThuS,US2000,False,24,48,50,0.5572832513567434,5.5,0.15,6,12,1.58,-6.32,-11.92,False,False
WedS AUS200,WedS,AUS200,False,24,48,50,0.5572832513567434,6.1,0.14,6,12,-5.71,-4.67,-7.89,False,False
WedS NZDUSD,WedS,NZDUSD,False,24,48,50,0.5572832513567434,5.3,0.12,6,12,2.19,-2.8,-9.94,False,False
WedS US30,WedS,US30,False,24,48,50,0.5572832513567434,3.2,0.08,5,12,0.34,-4.96,-12.95,False,False
MonS FR40,MonS,FR40,False,24,48,50,0.5572832513567434,1.6,0.06,9,12,2.09,-7.18,-13.04,False,False
Mon AUDNZD,Mon,AUDNZD,False,24,48,50,0.5572832513567434,2.9,0.06,9,12,1.26,-1.0,-2.66,False,False
ThuS AUDNZD,ThuS,AUDNZD,False,24,48,50,0.5572832513567434,2.4,0.05,8,12,2.52,-1.27,-3.57,False,False
TueS HK50,TueS,HK50,False,24,48,50,0.5572832513567434,-0.5,0.05,8,12,7.54,-7.91,-15.46,False,False
ThuS HK50,ThuS,HK50,False,24,48,50,0.5572832513567434,-2.0,0.03,7,12,17.1,-7.66,-31.14,False,False
Tue XAUUSD,Tue,XAUUSD,False,24,48,50,0.5572832513567434,-0.0,0.02,6,12,12.32,-4.24,-13.01,False,False
ThuS AUS200,ThuS,AUS200,False,24,48,50,0.5572832513567434,0.2,0.02,6,12,3.99,-4.81,-14.42,False,False
FriS XAUUSD,FriS,XAUUSD,False,24,48,50,0.5572832513567434,-0.2,0.01,9,12,5.8,-3.94,-8.43,False,False
Wed GBPCAD,Wed,GBPCAD,False,24,48,50,0.5572832513567434,0.2,0.01,4,12,-0.35,-1.87,-5.96,False,False
Wed AUDCAD,Wed,AUDCAD,False,24,48,50,0.5572832513567434,0.2,0.01,6,12,0.41,-1.89,-9.7,False,False
Hold EURUSD,Hold,EURUSD,False,24,48,50,0.5572832513567434,-1.3,-0.0,7,12,-1.63,-5.94,-18.32,False,False
TueS XAUUSD,TueS,XAUUSD,False,24,48,50,0.5572832513567434,-1.5,-0.01,6,12,-12.88,-5.67,-12.95,False,False
WedS AUDCAD,WedS,AUDCAD,False,24,48,50,0.5572832513567434,-0.6,-0.01,6,12,-0.47,-1.9,-8.42,False,False
FriS US30,FriS,US30,False,24,48,50,0.5572832513567434,-1.1,-0.01,6,12,-1.3,-3.22,-15.57,False,False
Thu HK50,Thu,HK50,False,24,48,50,0.5572832513567434,-3.7,-0.01,5,12,-15.07,-10.02,-24.27,False,False
Hold GBPUSD,Hold,GBPUSD,False,24,48,50,0.5572832513567434,-2.3,-0.02,6,12,-0.07,-5.19,-22.82,False,False
TueS US500,TueS,US500,False,24,48,50,0.5572832513567434,-1.5,-0.02,3,12,-9.81,-3.12,-10.57,False,False
Fri XAUUSD,Fri,XAUUSD,False,24,48,50,0.5572832513567434,-1.9,-0.02,3,12,-8.37,-4.17,-11.22,False,False
Thu AUS200,Thu,AUS200,False,24,48,50,0.5572832513567434,-1.5,-0.02,6,12,-4.06,-4.25,-15.36,False,False
Mon UK100,Mon,UK100,True,24,48,50,0.5572832513567434,-2.0,-0.04,7,12,0.8,-2.45,-10.2,False,False
Tue HK50,Tue,HK50,False,24,48,50,0.5572832513567434,-4.7,-0.04,4,12,-7.5,-11.18,-28.6,False,False
Mon FR40,Mon,FR40,True,24,48,50,0.5572832513567434,-3.5,-0.05,3,12,-2.5,-5.04,-11.67,False,False
Thu AUDNZD,Thu,AUDNZD,False,24,48,50,0.5572832513567434,-2.5,-0.05,4,12,-2.48,-1.3,-4.99,False,False
Hold WTI,Hold,WTI,True,24,48,50,0.5572832513567434,-18.8,-0.09,7,12,59.45,-20.85,-54.69,False,False
Fri UK100,Fri,UK100,False,24,48,50,0.5572832513567434,-5.3,-0.1,6,12,-2.33,-4.38,-8.74,False,False
Wed NZDUSD,Wed,NZDUSD,False,24,48,50,0.5572832513567434,-6.0,-0.12,6,12,-2.32,-3.03,-14.97,False,False
Wed AUS200,Wed,AUS200,False,24,48,50,0.5572832513567434,-6.8,-0.13,6,12,5.69,-5.4,-14.06,False,False
Thu US2000,Thu,US2000,False,24,48,50,0.5572832513567434,-9.4,-0.16,6,12,-2.42,-6.83,-22.41,False,False
Fri EUSTX50,Fri,EUSTX50,False,24,48,50,0.5572832513567434,-9.6,-0.19,7,12,-7.92,-4.18,-14.02,False,False
Thu UK100,Thu,UK100,False,24,48,50,0.5572832513567434,-10.0,-0.2,7,12,-7.19,-7.55,-23.57,False,False
Thu GER40,Thu,GER40,False,24,48,50,0.5572832513567434,-11.6,-0.23,6,12,-2.12,-8.2,-20.69,False,False
WedS FR40,WedS,FR40,False,24,48,50,0.5572832513567434,-16.9,-0.36,6,12,-4.08,-6.39,-17.26,False,False
Fri FR40,Fri,FR40,False,24,48,50,0.5572832513567434,-20.9,-0.46,4,12,-10.96,-9.37,-23.98,False,False
Mon WTI,Mon,WTI,False,24,48,50,0.5572832513567434,-24.5,-0.5,7,11,-23.8,-16.41,-34.65,False,False
WedS BTCUSD,WedS,BTCUSD,False,24,48,50,0.5572832513567434,-45.5,-1.01,7,12,0.0,-17.08,-53.97,False,False
Hold ETHUSD,Hold,ETHUSD,False,23,48,48,0.6672670939616907,34.8,2.99,5,12,-40.61,-45.08,-79.42,False,False
TueS NATGAS,TueS,NATGAS,False,23,48,48,0.6672670939616907,19.6,0.77,5,12,-16.28,-25.2,-49.2,False,False
MonS WTI,MonS,WTI,False,23,48,48,0.6672670939616907,17.7,0.41,4,11,23.34,-4.89,-12.55,False,False
FriS NAS100,FriS,NAS100,False,23,48,48,0.6672670939616907,13.7,0.3,5,12,-6.11,-6.73,-19.19,False,False
ThuS GER40,ThuS,GER40,False,23,48,48,0.6672670939616907,10.3,0.23,6,12,1.72,-5.05,-16.61,False,False
FriS AUDJPY,FriS,AUDJPY,False,23,48,48,0.6672670939616907,9.7,0.21,7,12,-0.17,-2.59,-12.54,False,False
Hold EURAUD,Hold,EURAUD,False,23,48,48,0.6672670939616907,7.7,0.18,4,12,-9.56,-4.41,-11.76,False,False
FriS UK100,FriS,UK100,False,23,48,48,0.6672670939616907,3.7,0.09,6,12,2.17,-3.15,-11.64,False,False
WedS USDCAD,WedS,USDCAD,False,23,48,48,0.6672670939616907,3.8,0.08,8,12,0.18,-1.16,-6.37,False,False
WedS GBPAUD,WedS,GBPAUD,False,23,48,48,0.6672670939616907,3.5,0.08,8,12,1.64,-2.42,-8.17,False,False
TueS US30,TueS,US30,False,23,48,48,0.6672670939616907,3.5,0.08,5,12,-5.22,-2.21,-6.26,False,False
TueS GBPUSD,TueS,GBPUSD,False,23,48,48,0.6672670939616907,3.0,0.07,7,12,1.96,-2.14,-5.32,False,False
TueS USDCHF,TueS,USDCHF,False,23,48,48,0.6672670939616907,2.6,0.06,6,12,2.03,-2.11,-5.02,False,False
ThuS USDCAD,ThuS,USDCAD,False,23,48,48,0.6672670939616907,1.7,0.04,6,12,0.04,-1.33,-5.31,False,False
Fri CADJPY,Fri,CADJPY,False,23,48,48,0.6672670939616907,1.3,0.04,6,12,1.93,-3.22,-11.2,False,False
Wed GBPUSD,Wed,GBPUSD,False,23,48,48,0.6672670939616907,0.3,0.01,4,12,-0.75,-1.83,-6.89,False,False
WedS AUDUSD,WedS,AUDUSD,False,23,48,48,0.6672670939616907,0.0,0.01,4,12,0.36,-3.13,-12.21,False,False
TueS AUDJPY,TueS,AUDJPY,False,23,48,48,0.6672670939616907,-0.1,0.01,3,12,-5.58,-3.05,-12.21,False,False
Tue US500,Tue,US500,False,23,48,48,0.6672670939616907,-0.2,0.01,9,12,10.56,-4.04,-16.26,False,False
TueS FR40,TueS,FR40,False,23,48,48,0.6672670939616907,-1.5,-0.0,4,12,-7.82,-6.86,-16.19,False,False
TueS EURAUD,TueS,EURAUD,False,23,48,48,0.6672670939616907,-0.1,0.0,7,12,3.5,-2.31,-8.97,False,False
Fri US30,Fri,US30,False,23,48,48,0.6672670939616907,-0.9,-0.0,6,12,1.03,-4.98,-14.18,False,False
WedS GBPCAD,WedS,GBPCAD,False,23,48,48,0.6672670939616907,-0.6,-0.01,8,12,0.31,-1.96,-8.34,False,False
MonS AUDCAD,MonS,AUDCAD,False,23,48,48,0.6672670939616907,-0.4,-0.01,3,12,-6.24,-1.73,-3.35,False,False
MonS GBPAUD,MonS,GBPAUD,False,23,48,48,0.6672670939616907,-1.1,-0.02,5,12,0.96,-1.74,-6.57,False,False
WedS AUDNZD,WedS,AUDNZD,False,23,48,48,0.6672670939616907,-1.0,-0.02,7,12,-0.88,-1.36,-3.58,False,False
WedS EURAUD,WedS,EURAUD,False,23,48,48,0.6672670939616907,-1.8,-0.03,9,12,3.63,-1.77,-11.31,False,False
Hold AUDCAD,Hold,AUDCAD,False,23,48,48,0.6672670939616907,-2.4,-0.04,7,12,7.49,-3.4,-11.98,False,False
Fri USDCHF,Fri,USDCHF,False,23,48,48,0.6672670939616907,-2.9,-0.06,8,12,1.64,-3.38,-7.2,False,False
MonS AUDNZD,MonS,AUDNZD,False,23,48,48,0.6672670939616907,-2.9,-0.06,3,12,-1.27,-1.05,-5.43,False,False
Wed US30,Wed,US30,False,23,48,48,0.6672670939616907,-5.0,-0.09,7,12,-0.63,-2.99,-15.65,False,False
Thu CHFJPY,Thu,CHFJPY,False,23,48,48,0.6672670939616907,-5.7,-0.11,7,12,-2.0,-2.77,-13.93,False,False
FriS JP225,FriS,JP225,False,23,48,48,0.6672670939616907,-5.9,-0.11,3,12,-9.28,-5.29,-21.0,False,False
Tue AUDCAD,Tue,AUDCAD,False,23,48,48,0.6672670939616907,-6.3,-0.13,6,12,1.85,-2.55,-11.03,False,False
MonS GBPUSD,MonS,GBPUSD,False,23,48,48,0.6672670939616907,-6.5,-0.14,2,12,-5.7,-2.08,-11.12,False,False
Wed USDJPY,Wed,USDJPY,False,23,48,48,0.6672670939616907,-6.8,-0.14,6,12,1.34,-4.56,-10.7,False,False
Thu USDCHF,Thu,USDCHF,False,23,48,48,0.6672670939616907,-9.3,-0.19,3,12,-2.62,-6.73,-15.38,False,False
Fri NZDJPY,Fri,NZDJPY,False,23,48,48,0.6672670939616907,-9.4,-0.19,5,12,-1.36,-3.38,-11.8,False,False
Wed US2000,Wed,US2000,False,23,48,48,0.6672670939616907,-10.6,-0.2,4,12,-2.65,-7.08,-21.24,False,False
Hold NZDCAD,Hold,NZDCAD,False,23,48,48,0.6672670939616907,-10.4,-0.21,4,12,-0.77,-4.5,-14.34,False,False
Thu US500,Thu,US500,False,23,48,48,0.6672670939616907,-10.9,-0.22,7,12,-6.66,-4.94,-17.53,False,False
Fri GER40,Fri,GER40,False,23,48,48,0.6672670939616907,-12.1,-0.23,5,12,-8.12,-12.47,-15.85,False,False
WedS XAUUSD,WedS,XAUUSD,False,23,48,48,0.6672670939616907,-12.4,-0.26,3,12,-8.52,-5.83,-17.57,False,False
WedS GER40,WedS,GER40,False,23,48,48,0.6672670939616907,-20.2,-0.45,8,12,5.8,-7.19,-21.33,False,False
Mon XAGUSD,Mon,XAGUSD,False,23,48,48,0.6672670939616907,-23.0,-0.48,6,11,10.73,-8.84,-32.54,False,False
Tue ETHUSD,Tue,ETHUSD,False,23,48,48,0.6672670939616907,-43.0,-0.89,5,12,-29.08,-17.55,-68.43,False,False
FriS WTI,FriS,WTI,False,23,48,48,0.6672670939616907,-39.7,-0.89,7,12,-38.0,-17.16,-56.15,False,False
Wed ETHUSD,Wed,ETHUSD,False,22,48,46,0.7645604931891441,56.7,1.31,6,12,8.36,-16.32,-35.58,False,False
ThuS FR40,ThuS,FR40,False,22,48,46,0.7645604931891441,6.6,0.16,7,12,3.75,-4.83,-15.08,False,False
ThuS EUSTX50,ThuS,EUSTX50,False,22,48,46,0.7645604931891441,6.1,0.16,7,12,2.09,-4.49,-19.71,False,False
Mon US2000,Mon,US2000,False,22,48,46,0.7645604931891441,5.8,0.14,6,11,2.33,-5.3,-13.96,False,False
MonS USDCAD,MonS,USDCAD,False,22,48,46,0.7645604931891441,5.8,0.12,5,12,0.41,-1.43,-2.81,False,False
FriS US500,FriS,US500,False,22,48,46,0.7645604931891441,3.7,0.09,4,12,-4.15,-4.73,-16.24,False,False
WedS GBPJPY,WedS,GBPJPY,False,22,48,46,0.7645604931891441,2.0,0.05,7,12,-1.68,-2.37,-5.66,False,False
TueS EURCAD,TueS,EURCAD,False,22,48,46,0.7645604931891441,2.0,0.04,8,12,0.82,-1.22,-4.23,False,False
MonS UK100,MonS,UK100,False,22,48,46,0.7645604931891441,0.9,0.03,5,12,-0.93,-2.03,-10.24,False,False
Tue UK100,Tue,UK100,False,22,48,46,0.7645604931891441,-0.4,0.01,8,12,0.58,-3.41,-14.48,False,False
Fri GBPJPY,Fri,GBPJPY,False,22,48,46,0.7645604931891441,-0.5,0.0,5,12,0.32,-4.31,-10.96,False,False
MonS EURCAD,MonS,EURCAD,False,22,48,46,0.7645604931891441,-0.3,-0.0,5,12,-2.19,-1.63,-4.14,False,False
MonS AUDCHF,MonS,AUDCHF,False,22,48,46,0.7645604931891441,-0.8,-0.01,3,12,-5.37,-1.97,-4.3,False,False
MonS JP225,MonS,JP225,False,22,48,46,0.7645604931891441,-2.4,-0.03,3,12,-11.48,-4.93,-15.14,False,False
Tue JP225,Tue,JP225,False,22,48,46,0.7645604931891441,-3.0,-0.04,4,12,-7.49,-4.05,-15.96,False,False
Wed AUDJPY,Wed,AUDJPY,False,22,48,46,0.7645604931891441,-2.7,-0.05,6,12,2.26,-4.33,-14.19,False,False
Thu GBPCAD,Thu,GBPCAD,False,22,48,46,0.7645604931891441,-2.5,-0.05,3,12,-1.74,-1.6,-9.32,False,False
Tue GBPCHF,Tue,GBPCHF,False,22,48,46,0.7645604931891441,-2.6,-0.05,5,12,-3.16,-1.76,-8.23,False,False
Thu US30,Thu,US30,False,22,48,46,0.7645604931891441,-3.2,-0.05,7,12,-4.8,-4.33,-12.17,False,False
WedS EURJPY,WedS,EURJPY,False,22,48,46,0.7645604931891441,-3.4,-0.06,8,12,0.4,-3.41,-8.41,False,False
TueS NAS100,TueS,NAS100,False,22,48,46,0.7645604931891441,-5.3,-0.08,3,12,-15.52,-6.06,-17.02,False,False
MonS GBPCAD,MonS,GBPCAD,False,22,48,46,0.7645604931891441,-3.8,-0.08,2,12,-6.31,-1.59,-7.27,False,False
Mon NZDUSD,Mon,NZDUSD,False,22,48,46,0.7645604931891441,-4.7,-0.09,5,12,3.41,-2.59,-10.97,False,False
Tue NZDCAD,Tue,NZDCAD,False,22,48,46,0.7645604931891441,-4.5,-0.09,3,12,-3.59,-2.7,-7.63,False,False
TueS EUSTX50,TueS,EUSTX50,False,22,48,46,0.7645604931891441,-5.3,-0.09,6,12,-2.47,-4.85,-15.62,False,False
TueS EURJPY,TueS,EURJPY,False,22,48,46,0.7645604931891441,-4.9,-0.1,3,12,-2.97,-2.5,-8.67,False,False
TueS GBPAUD,TueS,GBPAUD,False,22,48,46,0.7645604931891441,-4.7,-0.1,10,12,7.11,-2.12,-11.78,False,False
Wed NZDCAD,Wed,NZDCAD,False,22,48,46,0.7645604931891441,-5.1,-0.1,4,12,-1.54,-2.2,-10.83,False,False
Wed CADJPY,Wed,CADJPY,False,22,48,46,0.7645604931891441,-6.7,-0.13,6,12,1.07,-4.11,-13.81,False,False
TueS US2000,TueS,US2000,False,22,48,46,0.7645604931891441,-7.5,-0.13,4,12,-13.94,-4.73,-13.31,False,False
Fri GBPCAD,Fri,GBPCAD,False,22,48,46,0.7645604931891441,-6.6,-0.14,5,12,-2.56,-3.26,-10.97,False,False
Wed NZDJPY,Wed,NZDJPY,False,22,48,46,0.7645604931891441,-7.9,-0.16,5,12,0.3,-4.24,-14.9,False,False
Tue EURCHF,Tue,EURCHF,False,22,48,46,0.7645604931891441,-7.3,-0.16,7,12,0.19,-2.38,-9.63,False,False
Mon EUSTX50,Mon,EUSTX50,False,22,48,46,0.7645604931891441,-9.8,-0.2,8,12,3.52,-5.05,-15.85,False,False
Thu USDJPY,Thu,USDJPY,False,22,48,46,0.7645604931891441,-10.3,-0.21,5,12,-3.46,-4.56,-18.77,False,False
Fri AUS200,Fri,AUS200,False,22,48,46,0.7645604931891441,-10.8,-0.23,4,12,-5.66,-4.12,-12.31,False,False
Fri CADCHF,Fri,CADCHF,False,22,48,46,0.7645604931891441,-11.4,-0.25,9,12,0.39,-2.25,-12.66,False,False
Mon AUDUSD,Mon,AUDUSD,False,22,48,46,0.7645604931891441,-12.9,-0.26,8,12,5.97,-12.98,-20.03,False,False
Thu CADJPY,Thu,CADJPY,False,22,48,46,0.7645604931891441,-12.6,-0.27,3,12,-4.61,-4.03,-17.83,False,False
Wed JP225,Wed,JP225,False,22,48,46,0.7645604931891441,-12.9,-0.27,8,12,16.9,-3.46,-16.78,False,False
MonS US30,MonS,US30,False,22,48,46,0.7645604931891441,-15.0,-0.33,5,11,-4.27,-5.36,-18.65,False,False
Hold EURCHF,Hold,EURCHF,False,22,48,46,0.7645604931891441,-15.7,-0.35,7,12,0.33,-3.49,-16.15,False,False
Hold NZDUSD,Hold,NZDUSD,False,22,48,46,0.7645604931891441,-17.9,-0.36,6,12,-0.18,-6.9,-24.93,False,False
Hold GBPCHF,Hold,GBPCHF,False,22,48,46,0.7645604931891441,-16.6,-0.36,8,12,1.92,-4.54,-18.13,False,False
WedS EUSTX50,WedS,EUSTX50,False,22,48,46,0.7645604931891441,-16.8,-0.36,7,12,-9.22,-8.7,-17.88,False,False
Thu NAS100,Thu,NAS100,False,22,48,46,0.7645604931891441,-20.8,-0.43,6,12,-8.39,-7.85,-26.86,False,False
WedS XAGUSD,WedS,XAGUSD,False,22,48,46,0.7645604931891441,-21.8,-0.47,5,12,13.31,-8.34,-28.88,False,False
Tue NATGAS,Tue,NATGAS,False,22,48,46,0.7645604931891441,-47.8,-0.98,6,12,13.68,-19.57,-65.63,False,False
MonS BTCUSD,MonS,BTCUSD,False,22,48,46,0.7645604931891441,-46.0,-1.08,6,12,-12.0,-15.08,-51.88,False,False
Wed HK50,Wed,HK50,False,21,48,44,0.8438365962633654,2.4,0.09,7,12,2.64,-4.47,-17.54,False,False
Mon EURUSD,Mon,EURUSD,False,21,48,44,0.8438365962633654,0.7,0.02,5,12,1.57,-1.98,-4.57,False,False
Mon XAUUSD,Mon,XAUUSD,False,21,48,44,0.8438365962633654,0.3,0.02,5,11,-3.13,-3.69,-17.07,False,False
MonS EURCHF,MonS,EURCHF,False,21,48,44,0.8438365962633654,-0.2,-0.0,5,12,-1.4,-1.78,-4.33,False,False
Thu AUDUSD,Thu,AUDUSD,False,21,48,44,0.8438365962633654,-3.2,-0.06,4,12,-3.87,-2.39,-9.4,False,False
TueS USDCAD,TueS,USDCAD,False,21,48,44,0.8438365962633654,-2.9,-0.06,8,12,3.11,-2.51,-6.98,False,False
Thu NZDCAD,Thu,NZDCAD,False,21,48,44,0.8438365962633654,-2.9,-0.06,5,12,-1.26,-1.85,-6.79,False,False
FriS EURJPY,FriS,EURJPY,False,21,48,44,0.8438365962633654,-3.6,-0.07,7,12,1.16,-2.96,-11.75,False,False
FriS GBPAUD,FriS,GBPAUD,False,21,48,44,0.8438365962633654,-3.7,-0.07,6,12,0.5,-3.71,-10.01,False,False
Mon CADCHF,Mon,CADCHF,False,21,48,44,0.8438365962633654,-3.8,-0.08,5,12,-1.93,-1.67,-7.08,False,False
Mon EURAUD,Mon,EURAUD,False,21,48,44,0.8438365962633654,-4.5,-0.09,3,12,-5.17,-2.16,-6.44,False,False
Fri EURCAD,Fri,EURCAD,False,21,48,44,0.8438365962633654,-4.2,-0.09,4,12,-3.94,-3.54,-11.1,False,False
Mon NZDCAD,Mon,NZDCAD,False,21,48,44,0.8438365962633654,-4.1,-0.09,6,12,4.26,-1.86,-8.21,False,False
MonS GBPCHF,MonS,GBPCHF,False,21,48,44,0.8438365962633654,-4.6,-0.1,2,12,-5.54,-2.27,-7.32,False,False
WedS EURUSD,WedS,EURUSD,False,21,48,44,0.8438365962633654,-6.3,-0.13,7,12,2.7,-2.25,-11.05,False,False
WedS CHFJPY,WedS,CHFJPY,False,21,48,44,0.8438365962633654,-6.3,-0.13,6,12,0.43,-2.74,-11.15,False,False
WedS UK100,WedS,UK100,False,21,48,44,0.8438365962633654,-6.7,-0.13,4,12,-11.53,-6.23,-12.92,False,False
Thu EURAUD,Thu,EURAUD,False,21,48,44,0.8438365962633654,-6.3,-0.13,6,12,2.29,-3.54,-12.68,False,False
Thu GBPAUD,Thu,GBPAUD,False,21,48,44,0.8438365962633654,-6.3,-0.13,4,12,0.13,-3.35,-12.59,False,False
Wed EURCHF,Wed,EURCHF,False,21,48,44,0.8438365962633654,-7.0,-0.15,5,12,-0.97,-1.79,-8.32,False,False
TueS USDJPY,TueS,USDJPY,False,21,48,44,0.8438365962633654,-8.2,-0.17,6,12,-0.89,-3.55,-12.34,False,False
FriS EURAUD,FriS,EURAUD,False,21,48,44,0.8438365962633654,-8.3,-0.17,7,12,1.98,-4.61,-9.67,False,False
FriS USDJPY,FriS,USDJPY,False,21,48,44,0.8438365962633654,-9.0,-0.18,5,12,-3.29,-3.95,-16.43,False,False
Thu AUDJPY,Thu,AUDJPY,False,21,48,44,0.8438365962633654,-9.1,-0.19,3,12,-6.25,-2.71,-14.23,False,False
Thu GBPJPY,Thu,GBPJPY,False,21,48,44,0.8438365962633654,-11.0,-0.23,5,12,-5.32,-3.36,-16.96,False,False
WedS US500,WedS,US500,False,21,48,44,0.8438365962633654,-11.3,-0.23,6,12,1.48,-7.59,-20.7,False,False
Mon AUS200,Mon,AUS200,False,21,48,44,0.8438365962633654,-10.9,-0.23,4,12,-7.94,-2.72,-14.27,False,False
Thu EURJPY,Thu,EURJPY,False,21,48,44,0.8438365962633654,-11.0,-0.24,6,12,-3.13,-2.91,-17.26,False,False
Thu CADCHF,Thu,CADCHF,False,21,48,44,0.8438365962633654,-11.8,-0.25,3,12,-3.7,-4.61,-14.02,False,False
Tue AUDUSD,Tue,AUDUSD,False,21,48,44,0.8438365962633654,-12.0,-0.26,7,12,3.78,-4.64,-16.37,False,False
Fri XAGUSD,Fri,XAGUSD,False,21,48,44,0.8438365962633654,-15.7,-0.26,5,12,-10.28,-9.09,-40.9,False,False
Fri BTCUSD,Fri,BTCUSD,False,21,48,44,0.8438365962633654,-21.9,-0.32,3,12,-9.32,-11.91,-48.22,False,False
MonS GER40,MonS,GER40,False,21,48,44,0.8438365962633654,-17.5,-0.38,6,12,-6.23,-8.16,-25.9,False,False
ThuS JP225,ThuS,JP225,False,21,48,44,0.8438365962633654,-18.4,-0.38,7,12,0.92,-6.61,-25.58,False,False
ThuS XAGUSD,ThuS,XAGUSD,False,21,48,44,0.8438365962633654,-21.6,-0.43,4,12,7.03,-9.49,-38.63,False,False
WedS NATGAS,WedS,NATGAS,False,21,48,44,0.8438365962633654,-34.1,-0.52,4,12,-17.99,-13.91,-61.87,False,False
TueS XAGUSD,TueS,XAGUSD,False,21,48,44,0.8438365962633654,-31.7,-0.72,5,12,-44.85,-10.18,-32.89,False,False
Fri EURGBP,Fri,EURGBP,False,20,48,42,0.9032936735690313,0.1,0.01,2,12,-2.39,-1.67,-9.26,False,False
WedS EURGBP,WedS,EURGBP,False,20,48,42,0.9032936735690313,-1.3,-0.02,9,12,3.25,-1.18,-4.79,False,False
Thu AUDCAD,Thu,AUDCAD,False,20,48,42,0.9032936735690313,-1.0,-0.02,4,12,-2.81,-1.71,-5.9,False,False
TueS NZDJPY,TueS,NZDJPY,False,20,48,42,0.9032936735690313,-1.9,-0.03,4,12,-0.36,-2.55,-9.68,False,False
TueS CADJPY,TueS,CADJPY,False,20,48,42,0.9032936735690313,-1.9,-0.03,5,12,-2.8,-2.83,-10.05,False,False
TueS GBPCAD,TueS,GBPCAD,False,20,48,42,0.9032936735690313,-2.9,-0.06,8,12,4.27,-1.5,-6.68,False,False
Thu GBPUSD,Thu,GBPUSD,False,20,48,42,0.9032936735690313,-4.7,-0.09,5,12,-2.69,-1.86,-8.5,False,False
Thu EURUSD,Thu,EURUSD,False,20,48,42,0.9032936735690313,-5.3,-0.11,5,12,-0.64,-2.02,-10.04,False,False
