year,1,2,3,4,5,6,7,8,9,10,11,12,年間,年内最大DD
2021,,,,,,,,,,3.25,-0.07,3.28,6.56,-1.18
2022,-0.1,-1.38,3.06,-0.56,0.88,-1.73,3.76,-2.11,0.95,5.5,3.46,3.77,16.27,-5.64
2023,4.13,3.97,-1.92,3.91,0.76,-1.31,1.35,2.12,1.08,-1.73,-1.08,3.2,15.17,-5.17
2024,-1.36,-0.38,2.19,-0.39,3.41,0.02,-0.32,-0.3,1.86,-0.87,0.93,0.74,5.55,-2.97
2025,2.14,1.17,-0.36,0.62,1.77,0.07,1.53,0.3,-0.25,2.53,1.81,-1.01,10.73,-4.16
2026,1.51,2.48,-1.63,2.28,1.42,0.9,2.2,0.64,-3.36,,,,6.47,-3.88
