cell,family,symbol,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,cum_in_pct,worst_m_in_pct,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005
FriSx3 EURGBP,FriSx3,EURGBP,31,48,65,0.02973168762688516,0.17,8.1,-2.76,9,12,3.0,False,True
Monx2 GBPAUD,Monx2,GBPAUD,31,48,65,0.02973168762688516,0.16,7.7,-3.21,3,12,-7.18,False,True
MonSx3 EURGBP,MonSx3,EURGBP,31,48,65,0.02973168762688516,0.15,7.1,-3.25,8,12,3.7,False,True
Tuex2 XAGUSD,Tuex2,XAGUSD,30,48,62,0.055701445530509375,1.46,91.5,-8.46,6,12,47.57,False,False
Monx3 XAGUSD,Monx3,XAGUSD,30,48,62,0.055701445530509375,1.45,86.9,-9.03,9,11,76.37,False,False
Wedx3 XAUUSD,Wedx3,XAUUSD,30,48,62,0.055701445530509375,1.36,86.7,-5.22,8,12,-1.32,False,False
Wedx2 XAGUSD,Wedx2,XAGUSD,30,48,62,0.055701445530509375,1.04,56.0,-8.29,7,12,-11.84,False,False
Thux2 XAUUSD,Thux2,XAUUSD,30,48,62,0.055701445530509375,0.94,53.8,-5.95,6,12,-10.0,False,False
Monx3 US30,Monx3,US30,30,48,62,0.055701445530509375,0.65,33.5,-5.66,7,11,13.32,False,False
Tuex3 FR40,Tuex3,FR40,30,48,62,0.055701445530509375,0.6,29.4,-9.67,7,12,10.48,False,False
FriSx3 NZDUSD,FriSx3,NZDUSD,30,48,62,0.055701445530509375,0.49,24.4,-5.49,6,12,-0.25,False,False
Frix2 JP225,Frix2,JP225,30,48,62,0.055701445530509375,0.49,23.8,-9.82,10,12,32.0,False,False
Monx2 US30,Monx2,US30,30,48,62,0.055701445530509375,0.47,23.8,-4.06,9,11,13.59,False,False
Frix3 US500,Frix3,US500,30,48,62,0.055701445530509375,0.38,17.3,-9.3,9,12,20.0,False,False
Thux3 GBPJPY,Thux3,GBPJPY,30,48,62,0.055701445530509375,0.36,17.7,-4.25,7,12,1.68,False,False
Monx3 CADJPY,Monx3,CADJPY,30,48,62,0.055701445530509375,0.36,18.1,-6.03,8,12,4.68,False,False
TueSx3 GBPCHF,TueSx3,GBPCHF,30,48,62,0.055701445530509375,0.35,17.8,-2.34,8,12,4.58,False,False
Tuex2 UK100,Tuex2,UK100,30,48,62,0.055701445530509375,0.33,15.6,-6.49,9,12,14.36,False,False
ThuSx2 EURCHF,ThuSx2,EURCHF,30,48,62,0.055701445530509375,0.32,16.4,-1.24,9,12,3.34,False,False
TueS NZDUSD,TueS,NZDUSD,30,48,62,0.055701445530509375,0.23,11.3,-3.3,8,12,1.54,False,False
TueSx2 GBPCHF,TueSx2,GBPCHF,30,48,62,0.055701445530509375,0.23,11.4,-1.96,7,12,1.29,False,False
ThuS EURCHF,ThuS,EURCHF,30,48,62,0.055701445530509375,0.21,10.7,-0.93,10,12,2.21,False,False
TOMS GBPJPY,TOMS,GBPJPY,30,48,62,0.055701445530509375,0.19,8.8,-4.82,6,11,5.36,False,False
ThuS AUDCHF,ThuS,AUDCHF,30,48,62,0.055701445530509375,0.19,9.0,-1.94,8,12,5.94,False,False
TueS EURUSD,TueS,EURUSD,30,48,62,0.055701445530509375,0.18,8.9,-2.31,7,12,-1.39,False,False
FriSx3 EURUSD,FriSx3,EURUSD,30,48,62,0.055701445530509375,0.18,8.1,-4.08,7,12,0.03,False,False
FriS AUDUSD,FriS,AUDUSD,30,48,62,0.055701445530509375,0.16,5.8,-14.3,6,12,3.97,False,False
Tuex3 EURCAD,Tuex3,EURCAD,30,48,62,0.055701445530509375,0.16,7.6,-2.28,3,12,-1.98,False,False
MonSx3 EURCHF,MonSx3,EURCHF,30,48,62,0.055701445530509375,0.15,7.1,-4.16,5,12,-2.72,False,False
ThuS EURCAD,ThuS,EURCAD,30,48,62,0.055701445530509375,0.05,2.0,-3.07,7,12,-0.49,False,False
