year,1,2,3,4,5,6,7,8,9,10,11,12,年間,年内最大DD,+月
2021,,,,,,,,,,2.83,0.52,3.7,7.19,-1.13,3
2022,0.07,-0.34,1.65,1.5,-0.47,-1.03,4.09,-0.34,2.6,5.81,2.23,2.15,19.19,-4.56,8
2023,1.92,6.06,-1.58,4.54,1.3,-2.17,1.67,2.49,0.84,-1.08,-1.4,2.18,15.42,-5.83,8
2024,-0.78,-0.45,2.51,0.3,3.11,0.68,-0.0,-1.34,3.02,-0.44,0.98,1.32,9.14,-3.02,7
2025,2.6,1.62,0.06,2.1,1.42,0.1,2.42,0.54,-0.07,3.14,1.83,-0.71,16.02,-3.55,10
2026,2.25,2.1,0.17,2.86,2.13,2.0,1.82,0.31,-2.99,,,,11.03,-3.38,8
