hold,sl,is_sharpe,is_worst_m,is_cum,oos_sharpe,oos_worst_m,oos_cum,n,improve
6,15,-2.59,-2.76,-22.8,-1.78,-1.8,-7.9,1020,False
6,25,-2.16,-1.94,-21.3,-1.97,-2.31,-9.6,1020,True
6,none,-1.7,-2.01,-18.1,-1.86,-2.18,-10.0,1020,True
3,15,-1.77,-1.15,-6.7,-0.36,-0.47,-0.4,879,False
3,25,-0.97,-1.38,-3.9,0.98,-0.39,1.1,879,True
3,none,-0.74,-1.62,-3.1,2.25,-0.36,2.8,879,True
4,15,-3.47,-1.57,-13.6,-1.86,-0.49,-2.3,879,False
4,25,-3.13,-2.08,-13.6,-0.95,-0.43,-1.3,879,False
4,none,-2.53,-1.94,-11.9,0.33,-0.53,0.5,879,False
5,15,-3.88,-1.85,-18.5,-2.23,-0.77,-3.3,879,False
5,25,-3.11,-2.54,-16.8,-1.4,-0.87,-2.4,879,False
5,none,-2.61,-2.21,-15.7,-0.51,-1.22,-1.1,879,False
6,15,-3.05,-2.18,-17.0,-1.25,-0.95,-2.3,879,False
6,25,-2.38,-2.9,-15.2,-0.54,-0.7,-1.2,879,False
6,none,-1.74,-2.09,-12.6,0.42,-0.85,1.0,879,False
