cell,family,symbol,h0,span,known,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,cum_in_pct,worst_m_in_pct,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005
ThuS EURUSD 12-16UTC,ThuS,EURUSD,12,4,False,27,48,56,0.2354395068108559,0.11,5.1,-2.37,6,11,0.79,False,False
WedS GER40 00-08UTC,WedS,GER40,0,8,False,27,48,56,0.2354395068108559,0.11,5.2,-2.29,4,11,-0.91,False,False
Wed USDJPY 00-08UTC,Wed,USDJPY,0,8,False,27,48,56,0.2354395068108559,0.11,5.3,-2.48,4,11,-1.63,False,False
WedS GER40 20-00UTC,WedS,GER40,20,4,False,27,48,56,0.2354395068108559,0.1,4.8,-0.85,8,11,2.33,False,False
WedS USDCHF 16-20UTC,WedS,USDCHF,16,4,False,27,48,56,0.2354395068108559,0.1,4.9,-2.4,5,11,-1.48,False,False
Wed EURJPY 00-04UTC,Wed,EURJPY,0,4,False,27,48,56,0.2354395068108559,0.09,4.4,-1.11,3,11,-1.03,False,False
WedS GBPUSD 04-08UTC,WedS,GBPUSD,4,4,False,27,48,56,0.2354395068108559,0.09,4.2,-0.58,8,11,1.18,False,False
TueS USDCHF 12-16UTC,TueS,USDCHF,12,4,False,27,48,56,0.2354395068108559,0.09,4.1,-1.3,8,11,2.55,False,False
WedS USDJPY 08-12UTC,WedS,USDJPY,8,4,False,27,48,56,0.2354395068108559,0.07,3.5,-1.09,5,11,-1.64,False,False
WedS AUDUSD 08-16UTC,WedS,AUDUSD,8,8,False,27,48,56,0.2354395068108559,0.06,2.7,-1.92,9,11,1.88,False,False
ThuS GBPUSD 00-04UTC,ThuS,GBPUSD,0,4,False,27,48,56,0.2354395068108559,0.06,2.7,-0.47,6,11,1.46,False,False
TueS EURUSD 16-20UTC,TueS,EURUSD,16,4,False,27,48,56,0.2354395068108559,0.05,2.4,-0.74,8,11,0.61,False,False
ThuS GBPJPY 20-00UTC,ThuS,GBPJPY,20,4,False,27,48,56,0.2354395068108559,0.05,2.4,-0.72,6,11,0.34,False,False
ThuS GBPUSD 16-20UTC,ThuS,GBPUSD,16,4,False,27,48,56,0.2354395068108559,0.05,2.5,-1.48,7,11,1.84,False,False
WedS USDCHF 08-12UTC,WedS,USDCHF,8,4,False,27,48,56,0.2354395068108559,0.05,2.4,-0.9,4,11,-1.08,False,False
WedS USDCHF 00-04UTC,WedS,USDCHF,0,4,False,27,48,56,0.2354395068108559,0.04,1.8,-1.3,8,11,1.42,False,False
ThuS USDCHF 08-16UTC,ThuS,USDCHF,8,8,False,27,48,56,0.2354395068108559,0.04,1.6,-2.09,6,11,1.56,False,False
ThuS USDJPY 04-08UTC,ThuS,USDJPY,4,4,False,27,48,56,0.2354395068108559,0.04,1.7,-1.4,5,11,-1.13,False,False
TueS GBPJPY 08-12UTC,TueS,GBPJPY,8,4,False,27,48,56,0.2354395068108559,0.03,1.5,-1.57,6,11,1.16,False,False
TueS GBPUSD 00-08UTC,TueS,GBPUSD,0,8,False,27,48,56,0.2354395068108559,0.03,1.5,-1.45,8,11,3.51,False,False
Wed AUDJPY 12-16UTC,Wed,AUDJPY,12,4,False,27,48,56,0.2354395068108559,0.02,0.7,-1.58,9,11,1.63,False,False
Wed GBPUSD 12-16UTC,Wed,GBPUSD,12,4,False,27,48,56,0.2354395068108559,0.02,1.1,-1.28,6,11,0.64,False,False
Tue USDCHF 08-16UTC,Tue,USDCHF,8,8,False,27,48,56,0.2354395068108559,0.01,0.5,-1.99,2,11,-2.06,False,False
TueS AUDJPY 20-00UTC,TueS,AUDJPY,20,4,False,27,48,56,0.2354395068108559,0.0,0.0,-1.0,6,11,-1.04,False,False
WedS EURJPY 08-16UTC,WedS,EURJPY,8,8,False,27,48,56,0.2354395068108559,-0.01,-0.4,-2.15,6,11,-1.29,False,False
Tue GER40 08-16UTC,Tue,GER40,8,8,False,27,48,56,0.2354395068108559,-0.01,-1.5,-5.03,4,11,-5.87,False,False
WedS NZDUSD 12-16UTC,WedS,NZDUSD,12,4,False,27,48,56,0.2354395068108559,-0.02,-0.9,-2.45,7,11,1.61,False,False
WedS US500 08-16UTC,WedS,US500,8,8,False,27,48,56,0.2354395068108559,-0.03,-1.9,-3.03,5,11,-0.03,False,False
Tue EURJPY 00-04UTC,Tue,EURJPY,0,4,False,27,48,56,0.2354395068108559,-0.05,-2.3,-2.27,3,11,-1.52,False,False
Thu US500 00-08UTC,Thu,US500,0,8,False,27,48,56,0.2354395068108559,-0.08,-4.1,-3.36,7,11,0.07,False,False
Thu GER40 00-04UTC,Thu,GER40,0,4,False,27,48,56,0.2354395068108559,-0.09,-4.4,-3.48,6,11,-5.86,False,False
FriS NZDUSD 08-16UTC,FriS,NZDUSD,8,8,False,26,47,55,0.2800323147901054,0.26,12.4,-2.22,7,11,0.51,False,False
MonS NZDUSD 08-16UTC,MonS,NZDUSD,8,8,False,26,47,55,0.2800323147901054,0.23,11.0,-1.43,4,11,-1.67,False,False
Mon GBPJPY 08-12UTC,Mon,GBPJPY,8,4,True,26,47,55,0.2800323147901054,0.15,7.2,-1.26,9,11,2.15,False,False
FriS USDJPY 12-16UTC,FriS,USDJPY,12,4,False,26,47,55,0.2800323147901054,0.13,6.0,-2.61,6,11,2.72,False,False
FriS AUDUSD 00-04UTC,FriS,AUDUSD,0,4,False,26,47,55,0.2800323147901054,0.12,5.7,-1.11,7,11,2.0,False,False
MonS GER40 08-12UTC,MonS,GER40,8,4,False,26,47,55,0.2800323147901054,0.12,5.2,-3.67,3,11,-6.82,False,False
FriS USDCHF 08-16UTC,FriS,USDCHF,8,8,False,26,47,55,0.2800323147901054,0.12,5.4,-2.12,7,11,3.05,False,False
FriS EURJPY 16-20UTC,FriS,EURJPY,16,4,False,26,47,55,0.2800323147901054,0.1,4.6,-0.72,5,11,0.4,False,False
Mon GBPJPY 12-16UTC,Mon,GBPJPY,12,4,False,26,47,55,0.2800323147901054,0.1,4.6,-0.86,8,11,1.89,False,False
FriS US500 00-08UTC,FriS,US500,0,8,False,26,47,55,0.2800323147901054,0.1,4.8,-1.05,8,11,3.39,False,False
FriS GBPJPY 00-04UTC,FriS,GBPJPY,0,4,False,26,47,55,0.2800323147901054,0.09,4.4,-0.78,6,11,0.38,False,False
MonS NZDUSD 04-08UTC,MonS,NZDUSD,4,4,False,26,47,55,0.2800323147901054,0.09,4.0,-0.98,7,11,1.09,False,False
FriS USDCHF 04-08UTC,FriS,USDCHF,4,4,False,26,47,55,0.2800323147901054,0.09,4.2,-0.52,7,11,1.4,False,False
FriS EURJPY 08-12UTC,FriS,EURJPY,8,4,False,26,47,55,0.2800323147901054,0.08,3.5,-1.19,7,11,0.3,False,False
FriS GBPJPY 04-08UTC,FriS,GBPJPY,4,4,False,26,47,55,0.2800323147901054,0.08,3.7,-0.92,7,11,0.23,False,False
Mon US500 12-16UTC,Mon,US500,12,4,False,26,47,55,0.2800323147901054,0.08,3.5,-3.51,7,11,3.56,False,False
MonS USDCHF 16-20UTC,MonS,USDCHF,16,4,False,26,47,55,0.2800323147901054,0.08,3.6,-0.56,8,11,2.25,False,False
FriS EURUSD 08-16UTC,FriS,EURUSD,8,8,False,26,47,55,0.2800323147901054,0.07,3.1,-2.47,6,11,0.5,False,False
Mon GER40 12-16UTC,Mon,GER40,12,4,False,26,47,55,0.2800323147901054,0.07,3.0,-2.28,6,11,0.5,False,False
Mon EURJPY 16-00UTC,Mon,EURJPY,16,8,False,26,47,55,0.2800323147901054,0.04,2.0,-0.76,9,11,1.02,False,False
Mon USDJPY 08-12UTC,Mon,USDJPY,8,4,True,26,47,55,0.2800323147901054,0.02,0.9,-1.44,5,11,-1.43,False,False
Mon USDJPY 16-20UTC,Mon,USDJPY,16,4,False,26,47,55,0.2800323147901054,0.02,1.1,-0.5,5,11,-0.48,False,False
MonS EURJPY 00-08UTC,MonS,EURJPY,0,8,False,26,47,55,0.2800323147901054,0.01,0.3,-1.41,6,11,-0.1,False,False
MonS EURUSD 08-12UTC,MonS,EURUSD,8,4,False,26,47,55,0.2800323147901054,0.01,0.6,-1.27,7,11,0.03,False,False
MonS EURUSD 20-00UTC,MonS,EURUSD,20,4,False,26,47,55,0.2800323147901054,0.01,0.6,-0.43,10,11,1.13,False,False
MonS USDJPY 16-00UTC,MonS,USDJPY,16,8,False,26,47,55,0.2800323147901054,0.01,0.3,-1.06,4,11,-0.25,False,False
MonS GBPJPY 00-08UTC,MonS,GBPJPY,0,8,False,26,47,55,0.2800323147901054,-0.01,-0.4,-1.87,5,11,0.12,False,False
Fri USDJPY 00-08UTC,Fri,USDJPY,0,8,False,26,47,55,0.2800323147901054,-0.01,-0.8,-1.84,6,11,1.08,False,False
Fri USDJPY 16-20UTC,Fri,USDJPY,16,4,False,26,47,55,0.2800323147901054,-0.05,-2.6,-1.69,8,11,0.45,False,False
MonS GER40 08-16UTC,MonS,GER40,8,8,False,26,47,55,0.2800323147901054,-0.08,-4.3,-4.33,5,11,-8.74,False,False
ThuS GBPJPY 08-16UTC,ThuS,GBPJPY,8,8,False,26,48,54,0.3327329060383093,0.18,8.9,-2.65,8,11,5.42,False,False
WedS AUDUSD 00-08UTC,WedS,AUDUSD,0,8,False,26,48,54,0.3327329060383093,0.13,6.0,-2.89,5,11,-1.26,False,False
ThuS US500 20-00UTC,ThuS,US500,20,4,False,26,48,54,0.3327329060383093,0.13,6.5,-0.97,4,11,-0.73,False,False
ThuS NZDUSD 12-16UTC,ThuS,NZDUSD,12,4,False,26,48,54,0.3327329060383093,0.12,5.9,-3.06,7,11,2.14,False,False
Wed GBPJPY 16-20UTC,Wed,GBPJPY,16,4,False,26,48,54,0.3327329060383093,0.1,4.8,-1.1,8,11,0.52,False,False
ThuS GER40 12-16UTC,ThuS,GER40,12,4,False,26,48,54,0.3327329060383093,0.1,4.8,-3.15,5,11,-0.22,False,False
WedS USDJPY 08-16UTC,WedS,USDJPY,8,8,False,26,48,54,0.3327329060383093,0.1,4.8,-2.1,3,11,-3.18,False,False
TueS AUDJPY 00-04UTC,TueS,AUDJPY,0,4,False,26,48,54,0.3327329060383093,0.09,4.4,-1.28,9,11,3.53,False,False
TueS GBPUSD 16-00UTC,TueS,GBPUSD,16,8,False,26,48,54,0.3327329060383093,0.09,4.2,-0.64,6,11,-0.91,False,False
WedS NZDUSD 08-16UTC,WedS,NZDUSD,8,8,False,26,48,54,0.3327329060383093,0.09,4.1,-1.93,8,11,2.59,False,False
TueS US500 16-20UTC,TueS,US500,16,4,False,26,48,54,0.3327329060383093,0.09,3.9,-3.08,4,11,-5.72,False,False
Wed AUDJPY 00-08UTC,Wed,AUDJPY,0,8,False,26,48,54,0.3327329060383093,0.08,3.7,-3.05,7,11,0.74,False,False
ThuS US500 08-12UTC,ThuS,US500,8,4,False,26,48,54,0.3327329060383093,0.08,3.9,-1.44,9,11,2.33,False,False
TueS USDJPY 04-08UTC,TueS,USDJPY,4,4,False,26,48,54,0.3327329060383093,0.08,3.7,-0.55,5,11,-0.18,False,False
Thu AUDUSD 00-08UTC,Thu,AUDUSD,0,8,False,26,48,54,0.3327329060383093,0.06,3.0,-1.26,5,11,-1.36,False,False
Wed GBPUSD 16-00UTC,Wed,GBPUSD,16,8,False,26,48,54,0.3327329060383093,0.06,3.0,-1.14,2,11,-3.05,False,False
Tue USDJPY 16-00UTC,Tue,USDJPY,16,8,False,26,48,54,0.3327329060383093,0.06,3.0,-1.12,5,11,-0.67,False,False
ThuS EURUSD 16-20UTC,ThuS,EURUSD,16,4,False,26,48,54,0.3327329060383093,0.05,2.5,-1.12,6,11,0.41,False,False
Tue GBPJPY 16-00UTC,Tue,GBPJPY,16,8,False,26,48,54,0.3327329060383093,0.05,2.6,-1.59,6,11,1.03,False,False
Wed GBPJPY 00-08UTC,Wed,GBPJPY,0,8,False,26,48,54,0.3327329060383093,0.05,2.1,-2.25,4,11,-1.62,False,False
ThuS AUDJPY 00-04UTC,ThuS,AUDJPY,0,4,False,26,48,54,0.3327329060383093,0.04,1.6,-1.77,6,11,-0.01,False,False
TueS GBPUSD 04-08UTC,TueS,GBPUSD,4,4,False,26,48,54,0.3327329060383093,0.04,2.1,-0.89,7,11,3.13,False,False
ThuS USDJPY 16-20UTC,ThuS,USDJPY,16,4,False,26,48,54,0.3327329060383093,0.04,2.0,-0.68,4,11,-0.66,False,False
Tue US500 16-00UTC,Tue,US500,16,8,False,26,48,54,0.3327329060383093,0.03,1.2,-4.36,8,11,9.93,False,False
WedS US500 12-16UTC,WedS,US500,12,4,False,26,48,54,0.3327329060383093,0.03,1.4,-3.49,5,11,0.72,False,False
WedS US500 16-20UTC,WedS,US500,16,4,False,26,48,54,0.3327329060383093,0.03,0.6,-9.01,4,11,1.24,False,False
ThuS EURJPY 20-00UTC,ThuS,EURJPY,20,4,False,26,48,54,0.3327329060383093,0.02,1.1,-0.72,6,11,-0.02,False,False
TueS GER40 20-00UTC,TueS,GER40,20,4,False,26,48,54,0.3327329060383093,0.02,0.8,-1.42,7,11,-3.26,False,False
TueS USDJPY 20-00UTC,TueS,USDJPY,20,4,False,26,48,54,0.3327329060383093,0.02,0.7,-0.65,7,11,1.54,False,False
WedS AUDJPY 16-20UTC,WedS,AUDJPY,16,4,False,26,48,54,0.3327329060383093,-0.0,-0.3,-4.21,4,11,-0.19,False,False
Tue GBPJPY 16-20UTC,Tue,GBPJPY,16,4,False,26,48,54,0.3327329060383093,0.0,-0.0,-1.15,7,11,0.95,False,False
Tue EURJPY 00-08UTC,Tue,EURJPY,0,8,False,26,48,54,0.3327329060383093,-0.01,-0.5,-2.9,3,11,-1.3,False,False
Tue GBPJPY 00-04UTC,Tue,GBPJPY,0,4,False,26,48,54,0.3327329060383093,-0.01,-0.7,-2.29,4,11,-1.27,False,False
Tue GBPJPY 00-08UTC,Tue,GBPJPY,0,8,False,26,48,54,0.3327329060383093,-0.01,-0.5,-2.78,2,11,-2.86,False,False
Wed AUDJPY 04-08UTC,Wed,AUDJPY,4,4,False,26,48,54,0.3327329060383093,-0.03,-1.6,-2.69,6,11,-0.25,False,False
Tue GBPUSD 12-16UTC,Tue,GBPUSD,12,4,False,26,48,54,0.3327329060383093,-0.03,-1.8,-2.63,5,11,-0.31,False,False
Tue USDJPY 00-04UTC,Tue,USDJPY,0,4,False,26,48,54,0.3327329060383093,-0.04,-1.9,-2.14,5,11,-1.07,False,False
Wed GBPUSD 08-16UTC,Wed,GBPUSD,8,8,False,26,48,54,0.3327329060383093,-0.05,-2.5,-1.93,6,11,0.94,False,False
WedS GBPJPY 00-04UTC,WedS,GBPJPY,0,4,False,26,48,54,0.3327329060383093,-0.08,-3.7,-2.19,7,11,0.41,False,False
Tue NZDUSD 16-00UTC,Tue,NZDUSD,16,8,False,26,48,54,0.3327329060383093,-0.08,-3.7,-1.99,4,11,-0.0,False,False
FriS USDCHF 12-16UTC,FriS,USDCHF,12,4,False,25,47,53,0.3854334972865132,0.15,7.2,-1.65,8,11,3.36,False,False
MonS GER40 00-08UTC,MonS,GER40,0,8,False,25,47,53,0.3854334972865132,0.14,6.6,-1.37,4,11,-2.13,False,False
Mon GBPJPY 16-00UTC,Mon,GBPJPY,16,8,False,25,47,53,0.3854334972865132,0.12,5.8,-0.68,6,11,1.2,False,False
FriS GBPUSD 08-16UTC,FriS,GBPUSD,8,8,False,25,47,53,0.3854334972865132,0.12,5.6,-2.13,4,11,-0.47,False,False
FriS US500 00-04UTC,FriS,US500,0,4,False,25,47,53,0.3854334972865132,0.12,5.7,-1.19,6,11,1.68,False,False
FriS AUDJPY 04-08UTC,FriS,AUDJPY,4,4,False,25,47,53,0.3854334972865132,0.07,3.1,-1.43,6,11,1.16,False,False
MonS AUDUSD 08-16UTC,MonS,AUDUSD,8,8,False,25,47,53,0.3854334972865132,0.07,3.2,-1.49,4,11,-2.33,False,False
FriS EURJPY 00-04UTC,FriS,EURJPY,0,4,False,25,47,53,0.3854334972865132,0.07,3.5,-0.96,6,11,0.47,False,False
Mon GER40 16-00UTC,Mon,GER40,16,8,False,25,47,53,0.3854334972865132,0.07,2.9,-2.76,5,11,0.35,False,False
FriS GBPJPY 08-12UTC,FriS,GBPJPY,8,4,False,25,47,53,0.3854334972865132,0.06,2.7,-1.16,5,11,0.54,False,False
Mon AUDJPY 08-12UTC,Mon,AUDJPY,8,4,True,25,47,53,0.3854334972865132,0.05,2.5,-1.19,7,11,0.63,False,False
Mon GBPUSD 08-12UTC,Mon,GBPUSD,8,4,True,25,47,53,0.3854334972865132,0.05,2.3,-0.87,8,11,2.73,False,False
Mon GBPUSD 16-00UTC,Mon,GBPUSD,16,8,False,25,47,53,0.3854334972865132,0.05,2.3,-0.77,5,11,0.11,False,False
MonS NZDUSD 00-08UTC,MonS,NZDUSD,0,8,False,25,47,53,0.3854334972865132,0.05,2.2,-1.98,5,11,-1.71,False,False
Mon EURJPY 04-08UTC,Mon,EURJPY,4,4,True,25,47,53,0.3854334972865132,0.04,2.0,-2.28,7,11,0.28,False,False
MonS GBPUSD 16-20UTC,MonS,GBPUSD,16,4,False,25,47,53,0.3854334972865132,0.04,2.0,-0.7,6,11,-0.95,False,False
FriS GBPUSD 12-16UTC,FriS,GBPUSD,12,4,False,25,47,53,0.3854334972865132,0.04,1.6,-1.99,3,11,-1.6,False,False
MonS EURUSD 16-00UTC,MonS,EURUSD,16,8,False,25,47,53,0.3854334972865132,0.03,1.4,-0.73,8,11,0.08,False,False
MonS EURJPY 16-20UTC,MonS,EURJPY,16,4,False,25,47,53,0.3854334972865132,-0.01,-0.4,-0.59,3,11,-0.68,False,False
FriS USDJPY 08-12UTC,FriS,USDJPY,8,4,False,25,47,53,0.3854334972865132,-0.01,-0.7,-1.22,7,11,-0.43,False,False
Fri EURJPY 12-16UTC,Fri,EURJPY,12,4,False,25,47,53,0.3854334972865132,-0.02,-1.1,-2.05,3,11,-1.51,False,False
FriS EURUSD 12-16UTC,FriS,EURUSD,12,4,False,25,47,53,0.3854334972865132,-0.03,-1.4,-2.7,4,11,-0.33,False,False
Fri EURJPY 04-08UTC,Fri,EURJPY,4,4,False,25,47,53,0.3854334972865132,-0.04,-2.0,-1.23,5,11,0.37,False,False
Fri EURJPY 00-08UTC,Fri,EURJPY,0,8,False,25,47,53,0.3854334972865132,-0.06,-2.8,-2.61,6,11,0.41,False,False
Mon USDCHF 08-16UTC,Mon,USDCHF,8,8,True,25,47,53,0.3854334972865132,-0.06,-2.9,-1.41,6,11,-0.32,False,False
Mon EURUSD 00-08UTC,Mon,EURUSD,0,8,False,25,47,53,0.3854334972865132,-0.07,-3.2,-0.91,8,11,1.78,False,False
Fri AUDJPY 00-08UTC,Fri,AUDJPY,0,8,False,25,47,53,0.3854334972865132,-0.09,-4.2,-3.49,4,11,-1.28,False,False
TueS AUDJPY 00-08UTC,TueS,AUDJPY,0,8,False,25,48,52,0.4427167486432566,0.16,8.0,-2.74,8,11,3.22,False,False
WedS EURJPY 16-00UTC,WedS,EURJPY,16,8,False,25,48,52,0.4427167486432566,0.14,7.1,-1.37,5,11,0.7,False,False
WedS GBPJPY 16-00UTC,WedS,GBPJPY,16,8,False,25,48,52,0.4427167486432566,0.14,6.8,-1.44,7,11,1.33,False,False
ThuS GER40 08-16UTC,ThuS,GER40,8,8,False,25,48,52,0.4427167486432566,0.14,6.2,-3.33,5,11,0.17,False,False
ThuS GER40 04-08UTC,ThuS,GER40,4,4,False,25,48,52,0.4427167486432566,0.13,6.4,-2.51,3,11,-3.17,False,False
WedS NZDUSD 16-00UTC,WedS,NZDUSD,16,8,False,25,48,52,0.4427167486432566,0.12,5.8,-1.24,8,11,4.57,False,False
TueS GBPUSD 16-20UTC,TueS,GBPUSD,16,4,False,25,48,52,0.4427167486432566,0.1,4.9,-0.7,6,11,0.18,False,False
TueS NZDUSD 16-20UTC,TueS,NZDUSD,16,4,False,25,48,52,0.4427167486432566,0.1,4.8,-0.69,8,11,1.15,False,False
TueS AUDUSD 16-20UTC,TueS,AUDUSD,16,4,False,25,48,52,0.4427167486432566,0.09,4.2,-0.75,7,11,-0.34,False,False
TueS GBPUSD 08-16UTC,TueS,GBPUSD,8,8,False,25,48,52,0.4427167486432566,0.09,4.3,-2.8,8,11,1.66,False,False
ThuS US500 08-16UTC,ThuS,US500,8,8,False,25,48,52,0.4427167486432566,0.08,3.3,-3.27,7,11,5.17,False,False
Wed EURUSD 12-16UTC,Wed,EURUSD,12,4,False,25,48,52,0.4427167486432566,0.07,3.5,-1.11,5,11,-1.47,False,False
Tue GER40 16-00UTC,Tue,GER40,16,8,False,25,48,52,0.4427167486432566,0.07,3.5,-2.89,6,11,7.58,False,False
ThuS EURUSD 00-04UTC,ThuS,EURUSD,0,4,False,25,48,52,0.4427167486432566,0.06,2.8,-0.43,7,11,1.36,False,False
ThuS USDCHF 08-12UTC,ThuS,USDCHF,8,4,False,25,48,52,0.4427167486432566,0.06,2.8,-1.48,5,11,0.68,False,False
ThuS USDJPY 12-16UTC,ThuS,USDJPY,12,4,False,25,48,52,0.4427167486432566,0.06,3.0,-1.67,8,11,1.52,False,False
Wed EURUSD 16-00UTC,Wed,EURUSD,16,8,False,25,48,52,0.4427167486432566,0.05,2.5,-1.25,3,11,-2.59,False,False
Wed GER40 08-12UTC,Wed,GER40,8,4,False,25,48,52,0.4427167486432566,0.05,2.0,-2.04,6,11,-0.28,False,False
WedS NZDUSD 16-20UTC,WedS,NZDUSD,16,4,False,25,48,52,0.4427167486432566,0.05,2.4,-1.22,8,11,3.43,False,False
TueS USDJPY 00-08UTC,TueS,USDJPY,0,8,False,25,48,52,0.4427167486432566,0.05,2.5,-1.03,5,11,0.25,False,False
TueS GBPJPY 04-08UTC,TueS,GBPJPY,4,4,False,25,48,52,0.4427167486432566,0.04,2.0,-1.51,5,11,2.07,False,False
Wed GER40 16-00UTC,Wed,GER40,16,8,False,25,48,52,0.4427167486432566,0.04,1.7,-1.78,7,11,-1.16,False,False
Tue AUDJPY 16-20UTC,Tue,AUDJPY,16,4,False,25,48,52,0.4427167486432566,0.03,1.4,-1.34,6,11,1.67,False,False
ThuS AUDJPY 04-08UTC,ThuS,AUDJPY,4,4,False,25,48,52,0.4427167486432566,0.03,1.3,-1.65,4,11,-0.87,False,False
TueS GER40 16-20UTC,TueS,GER40,16,4,False,25,48,52,0.4427167486432566,0.03,1.5,-2.67,5,11,-2.71,False,False
TueS USDJPY 12-16UTC,TueS,USDJPY,12,4,False,25,48,52,0.4427167486432566,0.03,1.3,-2.46,7,11,0.59,False,False
Tue USDJPY 16-20UTC,Tue,USDJPY,16,4,False,25,48,52,0.4427167486432566,0.02,0.9,-0.86,4,11,0.24,False,False
WedS EURUSD 16-20UTC,WedS,EURUSD,16,4,False,25,48,52,0.4427167486432566,0.01,0.3,-1.12,9,11,3.26,False,False
Tue GBPJPY 12-16UTC,Tue,GBPJPY,12,4,False,25,48,52,0.4427167486432566,0.01,0.5,-1.71,5,11,-0.07,False,False
Wed GBPJPY 12-16UTC,Wed,GBPJPY,12,4,False,25,48,52,0.4427167486432566,0.01,0.5,-1.28,7,11,2.5,False,False
ThuS NZDUSD 00-08UTC,ThuS,NZDUSD,0,8,False,25,48,52,0.4427167486432566,0.01,0.3,-1.87,7,11,1.74,False,False
WedS US500 16-00UTC,WedS,US500,16,8,False,25,48,52,0.4427167486432566,-0.0,-0.9,-7.68,6,11,2.27,False,False
WedS AUDUSD 12-16UTC,WedS,AUDUSD,12,4,False,25,48,52,0.4427167486432566,-0.01,-0.7,-2.38,7,11,0.44,False,False
Thu GBPJPY 16-20UTC,Thu,GBPJPY,16,4,False,25,48,52,0.4427167486432566,-0.01,-0.6,-1.77,5,11,-0.36,False,False
ThuS NZDUSD 00-04UTC,ThuS,NZDUSD,0,4,False,25,48,52,0.4427167486432566,-0.01,-0.5,-1.65,6,11,0.74,False,False
TueS US500 08-12UTC,TueS,US500,8,4,False,25,48,52,0.4427167486432566,-0.01,-0.4,-2.85,7,11,1.53,False,False
ThuS AUDJPY 00-08UTC,ThuS,AUDJPY,0,8,False,25,48,52,0.4427167486432566,-0.02,-1.5,-2.21,3,11,-1.76,False,False
TueS EURJPY 20-00UTC,TueS,EURJPY,20,4,False,25,48,52,0.4427167486432566,-0.02,-0.7,-0.74,6,11,0.17,False,False
ThuS EURJPY 16-00UTC,ThuS,EURJPY,16,8,False,25,48,52,0.4427167486432566,-0.02,-1.1,-1.18,4,11,-1.57,False,False
TueS GBPJPY 08-16UTC,TueS,GBPJPY,8,8,False,25,48,52,0.4427167486432566,-0.03,-1.6,-2.0,6,11,0.75,False,False
TueS EURJPY 16-20UTC,TueS,EURJPY,16,4,False,25,48,52,0.4427167486432566,-0.05,-2.4,-1.45,5,11,-0.56,False,False
Thu AUDJPY 16-20UTC,Thu,AUDJPY,16,4,False,25,48,52,0.4427167486432566,-0.06,-3.0,-1.94,5,11,-0.66,False,False
Tue EURJPY 08-12UTC,Tue,EURJPY,8,4,False,25,48,52,0.4427167486432566,-0.08,-3.7,-1.91,6,11,-0.0,False,False
Wed GBPJPY 04-08UTC,Wed,GBPJPY,4,4,False,25,48,52,0.4427167486432566,-0.08,-3.6,-2.47,4,11,-1.74,False,False
Wed AUDUSD 16-00UTC,Wed,AUDUSD,16,8,False,25,48,52,0.4427167486432566,-0.09,-4.2,-1.46,4,11,-3.7,False,False
Thu US500 04-08UTC,Thu,US500,4,4,False,25,48,52,0.4427167486432566,-0.16,-7.4,-3.21,5,11,0.32,False,False
Fri GER40 16-20UTC,Fri,GER40,16,4,False,24,46,52,0.44149795606119824,-0.02,-1.0,-2.95,5,8,0.24,False,False
FriS US500 08-16UTC,FriS,US500,8,8,False,24,47,51,0.5,0.22,10.1,-2.21,6,11,0.99,False,False
FriS GER40 08-16UTC,FriS,GER40,8,8,False,24,47,51,0.5,0.18,8.0,-3.72,6,11,8.09,False,False
FriS AUDJPY 00-04UTC,FriS,AUDJPY,0,4,False,24,47,51,0.5,0.11,5.3,-1.37,7,11,0.98,False,False
Mon EURJPY 08-12UTC,Mon,EURJPY,8,4,True,24,47,51,0.5,0.09,4.3,-0.83,4,11,-0.57,False,False
FriS GBPJPY 12-16UTC,FriS,GBPJPY,12,4,False,24,47,51,0.5,0.09,4.2,-1.72,5,11,0.28,False,False
Mon US500 16-20UTC,Mon,US500,16,4,False,24,47,51,0.5,0.08,3.5,-1.89,7,11,1.98,False,False
MonS AUDUSD 04-08UTC,MonS,AUDUSD,4,4,False,24,47,51,0.5,0.07,3.2,-1.23,5,11,0.2,False,False
MonS GER40 16-20UTC,MonS,GER40,16,4,False,24,47,51,0.5,0.07,3.3,-1.62,5,11,-1.5,False,False
MonS AUDUSD 08-12UTC,MonS,AUDUSD,8,4,False,24,47,51,0.5,0.06,2.8,-0.81,6,11,-0.97,False,False
Mon GBPJPY 16-20UTC,Mon,GBPJPY,16,4,False,24,47,51,0.5,0.06,2.9,-0.47,9,11,1.35,False,False
MonS GBPUSD 00-08UTC,MonS,GBPUSD,0,8,False,24,47,51,0.5,0.05,2.5,-1.3,6,11,-1.61,False,False
Mon USDJPY 04-08UTC,Mon,USDJPY,4,4,True,24,47,51,0.5,0.04,1.8,-2.28,7,11,-0.43,False,False
MonS AUDJPY 16-20UTC,MonS,AUDJPY,16,4,False,24,47,51,0.5,0.03,1.3,-0.63,3,11,-1.31,False,False
MonS GBPUSD 08-16UTC,MonS,GBPUSD,8,8,False,24,47,51,0.5,0.01,0.6,-1.47,2,11,-4.67,False,False
Fri USDJPY 04-08UTC,Fri,USDJPY,4,4,False,24,47,51,0.5,0.01,0.6,-0.94,4,11,0.54,False,False
MonS USDCHF 12-16UTC,MonS,USDCHF,12,4,False,24,47,51,0.5,-0.0,-0.1,-1.01,7,11,1.56,False,False
