family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
金属セッション,XAGUSD,S 10-15 AM→PM fix,19,39,0.487,-5.95,839,0.6253706876195793,7,20,-5.0,45,0.489,False
金属セッション,XAGUSD,S 08-16 ロンドン,17,39,0.436,-4.45,839,0.8316081824050343,7,20,-2.93,45,0.444,False
金属セッション,XAGUSD,L 00-08 アジア,13,39,0.333,-5.63,839,0.9881486487647635,14,20,10.41,46,0.391,False
金属セッション,XAUUSD,L 00-08 アジア,12,39,0.308,-3.8,848,0.9952623478602618,7,12,0.8,10,0.4,False
金属セッション,XAUUSD,S 10-15 AM→PM fix,12,39,0.308,-4.69,848,0.9952623478602618,4,12,-8.57,9,0.778,False
金属セッション,XAUUSD,S 08-16 ロンドン,12,39,0.308,-4.73,848,0.9952623478602618,4,12,-10.25,9,0.667,False
