year,1,2,3,4,5,6,7,8,9,10,11,12,年間,年内最大DD
2021,,,,,,,,,,1.37,-0.02,1.38,2.75,-0.5
2022,-0.04,-0.58,1.3,-0.22,0.38,-0.71,1.59,-0.89,0.41,2.31,1.46,1.59,6.74,-2.41
2023,1.74,1.67,-0.8,1.64,0.33,-0.55,0.58,0.9,0.46,-0.73,-0.45,1.35,6.25,-2.22
2024,-0.58,-0.16,0.92,-0.16,1.43,0.01,-0.13,-0.12,0.79,-0.36,0.39,0.33,2.37,-1.27
2025,0.91,0.5,-0.14,0.27,0.75,0.03,0.65,0.13,-0.11,1.07,0.77,-0.43,4.48,-1.78
2026,0.64,1.05,-0.69,0.96,0.61,0.38,0.93,0.27,-1.43,,,,2.73,-1.65
