family,symbol,plus,minus,act,rate,mean,cum
Mon,GBPJPY,25,11,36,69.0,0.34,12.9
Hold,XAUUSD,25,11,36,69.0,2.5,132.1
Hold,GER40,24,12,36,67.0,1.44,63.2
Mon,GBPUSD,24,12,36,67.0,0.34,12.9
Mon,AUDJPY,23,13,36,64.0,0.27,9.9
Mon,GER40,23,13,36,64.0,0.68,26.5
Hold,US500,23,13,36,64.0,1.63,75.4
Hold,NAS100,23,13,36,64.0,2.0,95.6
MonThuS,USDCHF,23,13,36,64.0,0.28,10.4
RSI2a,GBPUSD,23,13,36,64.0,0.17,5.8
Mon,NAS100,22,13,35,63.0,0.61,23.0
Mon,US500,22,13,35,63.0,0.44,16.3
Mon,NZDJPY,22,14,36,61.0,0.16,5.9
Hold,JP225,22,14,36,61.0,2.1,97.3
Hold,UK100,22,14,36,61.0,0.92,37.5
Mon,EURJPY,21,15,36,58.0,0.09,3.4
Hold,BTCUSD,21,15,36,58.0,3.87,179.8
Mon,USDJPY,20,16,36,56.0,-0.04,-1.5
Mon,JP225,20,16,36,56.0,0.02,-0.6
TSMOM,XAUUSD,20,16,36,56.0,1.84,86.1
TSMOM,GER40,20,16,36,56.0,0.54,18.3
Mon,CADJPY,19,17,36,53.0,-0.02,-0.8
Mon,CHFJPY,19,17,36,53.0,0.05,1.8
Mon,UK100,19,17,36,53.0,-0.03,-1.1
TSMOM,US500,19,17,36,53.0,0.56,20.2
TSMOM,NAS100,19,17,36,53.0,0.95,36.0
TSMOM,BTCUSD,18,18,36,50.0,3.03,121.5
RSI2b,GBPJPY,18,18,36,50.0,-0.1,-4.2
Mon,ETHUSD,18,18,36,50.0,1.38,46.6
Hold,WTI,18,18,36,50.0,0.88,8.2
Mon,FR40,16,20,36,44.0,-0.12,-4.9
v4nfx,BTCUSD,13,12,25,52.0,-0.0,-6.8
v4,GBPJPY,12,9,21,57.0,0.28,5.8
v4,GBPUSD,11,7,18,61.0,0.16,2.8
v4,NZDUSD,11,8,19,58.0,0.15,2.8
v4,USDJPY,11,9,20,55.0,0.23,4.4
v4,EURJPY,10,5,15,67.0,0.39,6.0
TSMOM,ETHUSD,10,26,36,28.0,-3.34,-84.5
v4,USDCHF,9,6,15,60.0,0.18,2.7
v4,AUDUSD,8,6,14,57.0,0.22,3.1
v4,EURUSD,6,7,13,46.0,-0.24,-3.1
v4,USDCAD,3,2,5,60.0,-0.17,-0.9
