family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
債券プレミアム,USTBOND,a) Hold LONG 連続保有,17,39,0.436,-3.82,845,0.8316081824050343,9,20,-1.02,40,0.525,False
債券プレミアム,BUND,a) Hold LONG 連続保有,16,39,0.41,-2.88,829,0.9002045665401965,7,20,-1.9,46,0.5,False
債券プレミアム,USTBOND,b) TSMOM 1/3/6/12 符号和・翌月保有,15,39,0.385,-0.9,845,0.9459354892969714,6,20,-1.15,40,0.225,False
債券プレミアム,BUND,b) TSMOM 1/3/6/12 符号和・翌月保有,13,39,0.333,-0.06,829,0.9881486487647635,8,20,-1.55,46,0.196,False
