event,symbol,window,side,is_n,is_plus,is_rate,is_mean_bps,p,oos_n,oos_plus,oos_mean_bps,pre_n,pre_rate,passed
BoJ,AUDUSD,当日,S,26,14,0.538,9.6,0.42250949144363403,13,10,7.3,46,0.522,False
FOMC,EURUSD,当日,S,26,14,0.538,-5.16,0.42250949144363403,13,7,6.64,45,0.311,False
BoJ,EURGBP,前日,S,26,14,0.538,2.63,0.42250949144363403,8,3,-0.95,45,0.511,False
FOMC,EURUSD,前日,L,26,14,0.538,9.46,0.42250949144363403,14,4,-12.49,45,0.578,False
FOMC,EURGBP,前日,S,26,14,0.538,5.18,0.42250949144363403,9,5,2.95,45,0.578,False
FOMC,GBPUSD,前日,L,26,14,0.538,14.44,0.42250949144363403,14,5,-6.56,45,0.556,False
BoJ,USDCHF,当日,L,26,14,0.538,-5.65,0.42250949144363403,13,6,-6.43,46,0.391,False
BoJ,USDJPY,前日,L,26,14,0.538,9.07,0.42250949144363403,13,9,3.53,45,0.489,False
BoJ,EURUSD,前日,L,26,14,0.538,-10.76,0.42250949144363403,13,5,-10.97,45,0.311,False
BoJ,EURJPY,当日,L,26,14,0.538,-0.62,0.42250949144363403,13,7,-0.01,46,0.391,False
FOMC,GBPUSD,当日,S,26,14,0.538,15.08,0.42250949144363403,13,5,2.73,45,0.378,False
BoJ,EURUSD,当日,S,26,14,0.538,6.26,0.42250949144363403,13,7,-3.03,46,0.391,False
NFP,AUDUSD,前日,S,36,19,0.528,-2.66,0.4339697002142202,17,11,20.04,64,0.453,False
NFP,CHFJPY,前日,S,36,19,0.528,-1.36,0.4339697002142202,10,4,-19.87,64,0.359,False
NFP,EURUSD,前日,L,36,19,0.528,0.8,0.4339697002142202,17,8,-2.34,64,0.438,False
NFP,GBPUSD,前日,L,36,19,0.528,-2.5,0.4339697002142202,17,8,-6.77,64,0.422,False
CPI,XAUUSD,前日,L,39,20,0.513,7.79,0.5,11,5,1.06,9,0.333,False
CPI,XAUUSD,翌日,L,39,20,0.513,12.47,0.5,11,6,18.06,9,0.444,False
CPI,EURUSD,翌日,S,27,14,0.519,-4.66,0.5,13,7,-0.52,39,0.538,False
CPI,NZDUSD,翌日,L,27,14,0.519,-5.51,0.5,13,5,-9.56,39,0.385,False
CPI,USDCHF,翌日,L,27,14,0.519,-4.98,0.5,13,7,-1.51,39,0.487,False
CPI,USDJPY,当日,L,37,19,0.514,-19.18,0.5,16,8,-29.54,55,0.418,False
FOMC,AUDUSD,翌日,S,25,13,0.52,16.7,0.5,13,9,9.84,43,0.605,False
FOMC,EURJPY,翌日,L,25,13,0.52,5.69,0.5,13,6,2.73,43,0.488,False
NFP,EURJPY,前日,S,36,18,0.5,0.44,0.5660302997857798,17,6,-3.85,64,0.484,False
NFP,NZDUSD,前日,S,36,18,0.5,-6.38,0.5660302997857798,17,12,26.14,64,0.406,False
NFP,USDCHF,前日,S,36,18,0.5,1.96,0.5660302997857798,17,7,0.65,64,0.422,False
NFP,USDJPY,前日,S,36,18,0.5,3.8,0.5660302997857798,17,7,-3.81,64,0.469,False
BoJ,NZDUSD,当日,S,26,13,0.5,4.06,0.577490508556366,13,9,11.17,46,0.478,False
BoJ,GBPUSD,当日,S,26,13,0.5,1.12,0.577490508556366,13,7,-4.78,46,0.435,False
BoJ,AUDUSD,前日,S,26,13,0.5,6.01,0.577490508556366,13,6,-10.92,45,0.489,False
FOMC,USDCHF,前日,S,26,13,0.5,8.38,0.577490508556366,14,4,-16.31,45,0.511,False
FOMC,EURJPY,前日,L,26,13,0.5,-18.52,0.577490508556366,14,5,-9.65,45,0.578,False
FOMC,USDCHF,当日,S,26,13,0.5,7.27,0.577490508556366,13,4,-8.27,45,0.622,False
FOMC,AUDUSD,当日,S,26,13,0.5,-2.55,0.577490508556366,13,8,10.13,45,0.444,False
FOMC,AUDUSD,当日,L,26,13,0.5,-6.34,0.577490508556366,13,5,-19.1,45,0.467,False
BoJ,CHFJPY,翌日,S,14,7,0.5,2.37,0.604736328125,5,4,37.75,34,0.529,False
BoJ,CHFJPY,翌日,L,14,7,0.5,-6.34,0.604736328125,5,1,-41.09,34,0.412,False
CPI,EURGBP,前日,S,39,19,0.487,0.23,0.6253706876195793,11,6,10.66,69,0.478,False
CPI,NZDUSD,前日,L,39,19,0.487,-0.76,0.6253706876195793,19,5,-1.79,69,0.522,False
NFP,XAUUSD,当日,S,39,19,0.487,-4.02,0.6253706876195793,11,7,12.0,9,0.222,False
NFP,XAUUSD,当日,L,39,19,0.487,-5.98,0.6253706876195793,11,4,-22.0,9,0.556,False
CPI,AUDUSD,当日,L,37,18,0.486,-0.28,0.6285853206354659,16,7,13.48,55,0.527,False
CPI,AUDUSD,当日,S,37,18,0.486,-8.6,0.6285853206354659,16,6,-22.54,55,0.4,False
CPI,EURGBP,翌日,L,27,13,0.481,1.94,0.6494459807872772,7,3,-5.09,39,0.385,False
CPI,EURJPY,翌日,L,27,13,0.481,2.77,0.6494459807872772,13,6,-9.01,39,0.436,False
FOMC,GBPUSD,翌日,L,25,12,0.48,-21.34,0.6549810171127319,13,6,-17.37,43,0.395,False
FOMC,EURJPY,翌日,S,25,12,0.48,-9.76,0.6549810171127319,13,5,-6.16,43,0.465,False
FOMC,NZDUSD,翌日,S,25,12,0.48,11.53,0.6549810171127319,13,9,12.19,43,0.581,False
NFP,EURGBP,前日,S,36,17,0.472,-7.63,0.691140341485152,10,4,-18.22,64,0.422,False
NFP,EURJPY,前日,L,36,17,0.472,-4.51,0.691140341485152,17,11,0.4,64,0.469,False
NFP,XAUUSD,前日,S,36,17,0.472,-7.88,0.691140341485152,10,3,-6.64,9,0.556,False
NFP,NZDUSD,前日,L,36,17,0.472,-3.23,0.691140341485152,17,5,-36.43,64,0.531,False
BoJ,XAUUSD,前日,L,26,12,0.462,-0.44,0.7214014530181885,8,2,-63.27,6,0.333,False
FOMC,XAUUSD,翌日,S,26,12,0.462,-1.58,0.7214014530181885,9,2,-40.83,6,0.5,False
FOMC,USDCHF,当日,L,26,12,0.462,-13.85,0.7214014530181885,13,9,0.89,45,0.333,False
FOMC,GBPUSD,当日,L,26,12,0.462,-19.85,0.7214014530181885,13,7,-7.24,45,0.6,False
FOMC,EURUSD,当日,L,26,12,0.462,-0.42,0.7214014530181885,13,6,-11.89,45,0.689,False
BoJ,EURGBP,前日,L,26,12,0.462,-9.64,0.7214014530181885,8,5,-6.04,45,0.356,False
BoJ,USDCHF,当日,S,26,12,0.462,-0.94,0.7214014530181885,13,5,-0.95,46,0.543,False
FOMC,EURJPY,前日,S,26,12,0.462,14.48,0.7214014530181885,14,9,6.22,45,0.289,False
FOMC,XAUUSD,翌日,L,26,12,0.462,-8.42,0.7214014530181885,9,5,30.83,6,0.5,False
BoJ,XAUUSD,前日,S,26,12,0.462,-9.56,0.7214014530181885,8,6,53.27,6,0.5,False
CPI,EURGBP,前日,L,39,18,0.462,-7.25,0.7388013097515795,11,4,-17.67,69,0.449,False
CPI,XAUUSD,当日,S,39,18,0.462,-22.04,0.7388013097515795,11,2,-81.71,9,0.222,False
CPI,EURGBP,当日,S,37,17,0.459,-3.68,0.7443121092073852,10,3,-17.71,55,0.436,False
CPI,USDJPY,当日,S,37,17,0.459,14.84,0.7443121092073852,16,8,25.63,55,0.527,False
CPI,GBPUSD,当日,L,37,17,0.459,-8.35,0.7443121092073852,16,7,15.05,55,0.582,False
CPI,NZDUSD,当日,L,37,17,0.459,-2.0,0.7443121092073852,16,6,4.08,55,0.6,False
CPI,USDCHF,翌日,S,27,12,0.444,-1.63,0.7789658308029175,13,4,-5.77,39,0.462,False
FOMC,GBPUSD,翌日,S,25,11,0.44,16.56,0.787821888923645,13,7,12.86,43,0.558,False
BoJ,EURGBP,翌日,S,14,6,0.429,-18.54,0.78802490234375,5,3,-12.02,34,0.618,False
BoJ,AUDUSD,翌日,S,14,6,0.429,-16.96,0.78802490234375,8,6,16.43,34,0.382,False
NFP,AUDUSD,前日,L,36,16,0.444,-6.21,0.7974838769296184,17,5,-29.08,64,0.5,False
BoJ,USDJPY,前日,S,26,11,0.423,-13.42,0.8365302085876465,13,3,-7.44,45,0.511,False
BoJ,CHFJPY,当日,S,26,11,0.423,-12.14,0.8365302085876465,8,4,-39.14,46,0.587,False
BoJ,GBPUSD,当日,L,26,11,0.423,-5.89,0.8365302085876465,13,6,0.27,46,0.543,False
BoJ,EURJPY,当日,S,26,11,0.423,-3.41,0.8365302085876465,13,6,-3.42,46,0.565,False
BoJ,EURUSD,前日,S,26,11,0.423,5.19,0.8365302085876465,13,8,5.72,45,0.622,False
