cell,family,symbol,h0,span,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,worst_m_in_pct,plus_pre,n_pre,p_pre,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005,pre_sig
Wed EURGBP 00-04UTC,Wed,EURGBP,0,4,9,39,23,0.9998529615622829,-0.1,-0.79,23,69,0.9982275935764895,5,12,-0.02,False,False,False
Fri EURGBP 16-20UTC,Fri,EURGBP,16,4,9,39,23,0.9998529615622829,-0.14,-0.58,23,69,0.9982275935764895,2,12,-3.35,False,False,False
Thu GBPAUD 00-08UTC,Thu,GBPAUD,0,8,9,39,23,0.9998529615622829,-0.34,-1.92,29,69,0.9259839096536209,7,12,1.37,False,False,False
Tue EURGBP 00-04UTC,Tue,EURGBP,0,4,7,39,18,0.9999928503693809,-0.13,-0.55,22,69,0.9992248415252566,1,12,-1.14,False,False,False
Wed CADJPY 20-00UTC,Wed,CADJPY,20,4,7,39,18,0.9999928503693809,-0.29,-1.52,19,69,0.9999561566876858,1,12,-4.23,False,False,False
Thu EURGBP 20-00UTC,Thu,EURGBP,20,4,6,39,15,0.9999987850460457,-0.1,-0.67,14,69,0.9999999158118329,6,12,0.27,False,False,False
Mon EURGBP 16-20UTC,Mon,EURGBP,16,4,6,39,15,0.9999987850460457,-0.15,-0.73,23,69,0.9982275935764895,3,12,-1.64,False,False,False
Mon EURGBP 16-00UTC,Mon,EURGBP,16,8,5,39,13,0.9999998323419277,-0.18,-0.91,24,69,0.9961897390724872,4,12,-1.44,False,False,False
Tue EURGBP 20-00UTC,Tue,EURGBP,20,4,2,39,5,0.9999999999272404,-0.09,-0.26,15,69,0.999999653904154,1,12,-1.24,False,False,False
Mon EURGBP 20-00UTC,Mon,EURGBP,20,4,2,39,5,0.9999999999272404,-0.14,-0.82,13,69,0.9999999812887526,3,12,-1.0,False,False,False
