year,1,2,3,4,5,6,7,8,9,10,11,12,年間,年内最大DD,+月
2021,,,,,,,,,,0.14,0.38,0.17,0.69,-0.6,3
2022,-0.35,0.67,-1.34,0.97,-1.02,-0.02,0.78,0.52,0.98,0.56,0.28,-0.66,1.34,-1.6,7
2023,-0.83,1.35,0.38,0.46,0.45,-0.9,0.03,0.48,0.03,0.26,0.51,-0.74,1.48,-1.24,9
2024,0.44,-0.34,0.15,0.13,0.56,0.05,0.34,-0.44,1.15,-0.09,0.03,0.69,2.68,-0.52,9
2025,0.21,0.51,0.25,0.53,0.78,-0.66,0.7,0.73,0.06,0.7,0.47,0.07,4.41,-0.79,11
2026,0.82,0.42,0.83,0.3,0.73,0.85,0.04,-0.05,0.11,,,,4.14,-0.41,8
