legs,w,maxcorr,roll,cagr,cum,dd,wm,wd,pos,sh,yrs,calmar
Mon EURJPY + Roll USDJPY + v4 AUDUSD,0.22 / 0.59 / 0.18,0.01,True,2.8,14.6,-1.6,-0.5,-0.35,44/59,2.13,2022:+1.7 2023:+6.0 2024:+1.4 2025:+3.3 2026:+0.9,1.75
Mon EURJPY + TSMOM XAUUSD + v4 AUDUSD,0.49 / 0.10 / 0.41,-0.02,False,4.3,23.0,-2.7,-1.1,-1.14,39/58,1.5,2022:+3.4 2023:+6.7 2024:+1.8 2025:+6.0 2026:+2.2,1.59
Mon GBPJPY + Mon GBPUSD + Mon GER40,0.39 / 0.43 / 0.18,0.47,False,4.5,24.0,-3.6,-1.2,-1.1,35/58,1.45,2022:+2.5 2023:+3.5 2024:+2.2 2025:+6.6 2026:+6.5,1.25
Mon GBPJPY + Mon GBPUSD + Mon NAS100,0.40 / 0.44 / 0.16,0.47,False,5.0,27.4,-2.0,-1.0,-1.23,41/58,1.65,2022:+4.4 2023:+6.4 2024:+2.1 2025:+6.1 2026:+4.8,2.5
Mon GBPJPY + Mon GBPUSD + Mon NZDJPY,0.34 / 0.37 / 0.30,0.71,False,4.4,23.5,-2.7,-1.1,-1.34,41/58,1.48,2022:+3.1 2023:+6.3 2024:+0.9 2025:+5.0 2026:+5.2,1.63
Mon GBPJPY + Mon GBPUSD + Mon US500,0.37 / 0.41 / 0.22,0.47,False,4.5,24.1,-2.7,-1.0,-1.45,40/58,1.52,2022:+2.9 2023:+6.2 2024:+1.6 2025:+5.9 2026:+4.7,1.67
Mon GBPJPY + Mon GBPUSD + Mon USDJPY,0.32 / 0.35 / 0.33,0.57,False,3.9,20.9,-1.9,-1.0,-1.02,42/58,1.65,2022:+5.1 2023:+4.5 2024:+1.9 2025:+3.0 2026:+3.4,2.05
Mon GBPJPY + Mon GBPUSD + Roll AUDJPY,0.22 / 0.24 / 0.55,0.47,True,2.8,14.8,-1.3,-0.6,-0.59,41/59,1.84,2022:+1.7 2023:+3.9 2024:+1.4 2025:+4.0 2026:+2.7,2.15
Mon GBPJPY + Mon GBPUSD + Roll CADJPY,0.18 / 0.20 / 0.62,0.47,True,2.6,13.4,-1.3,-0.4,-0.49,41/58,1.99,2022:+1.0 2023:+4.2 2024:+1.9 2025:+3.3 2026:+2.0,2.0
Mon GBPJPY + Mon GBPUSD + Roll EURJPY,0.16 / 0.18 / 0.65,0.47,True,2.5,12.9,-1.0,-0.5,-0.45,41/59,2.12,2022:+1.1 2023:+3.7 2024:+2.0 2025:+3.3 2026:+1.9,2.5
