legs,w,maxcorr,roll,cagr,cum,dd,wm,wd,pos,sh,yrs,calmar
Hold GER40 + Hold JP225 + Hold UK100,0.32 / 0.24 / 0.44,0.75,False,11.4,70.0,-14.8,-9.4,-5.13,37/58,0.88,2022:-5.9 2023:+14.2 2024:+13.0 2025:+23.0 2026:+11.0,0.77
Hold GER40 + Hold JP225 + Hold US500,0.36 / 0.27 / 0.37,0.44,False,12.8,80.8,-21.2,-9.1,-5.14,39/58,0.94,2022:-13.8 2023:+23.7 2024:+20.8 2025:+21.9 2026:+10.1,0.6
Hold GER40 + Hold JP225 + Hold XAUUSD,0.37 / 0.28 / 0.35,0.3,False,15.5,102.9,-16.7,-11.3,-4.51,41/58,1.16,2022:-7.0 2023:+20.0 2024:+22.3 2025:+37.7 2026:+5.5,0.93
Hold GER40 + Hold JP225 + Mon AUDJPY,0.17 / 0.13 / 0.70,0.3,False,8.4,48.3,-5.8,-2.8,-1.88,38/58,1.42,2022:-0.5 2023:+14.0 2024:+6.3 2025:+10.3 2026:+8.0,1.45
Hold GER40 + Hold JP225 + Mon CADJPY,0.16 / 0.12 / 0.72,0.3,False,6.3,35.0,-5.7,-4.0,-1.6,38/58,1.18,2022:+2.3 2023:+10.7 2024:+5.9 2025:+6.7 2026:+3.3,1.11
Hold GER40 + Hold JP225 + Mon CHFJPY,0.14 / 0.11 / 0.75,0.3,False,6.2,34.2,-5.2,-3.9,-1.55,40/58,1.26,2022:+1.6 2023:+11.7 2024:+5.7 2025:+6.5 2026:+3.1,1.19
Hold GER40 + Hold JP225 + Mon EURJPY,0.15 / 0.11 / 0.74,0.3,False,6.7,37.5,-5.6,-3.1,-2.08,42/58,1.34,2022:+3.2 2023:+11.0 2024:+5.1 2025:+7.4 2026:+4.6,1.2
Hold GER40 + Hold JP225 + Mon GBPJPY,0.15 / 0.11 / 0.73,0.3,False,8.4,48.5,-6.4,-2.7,-1.82,44/58,1.59,2022:+3.0 2023:+11.6 2024:+7.6 2025:+9.8 2026:+7.3,1.31
Hold GER40 + Hold JP225 + Mon GBPUSD,0.14 / 0.11 / 0.75,0.3,False,5.4,29.2,-8.2,-2.6,-2.44,35/58,1.09,2022:-3.8 2023:+8.1 2024:+4.5 2025:+11.0 2026:+7.1,0.66
Hold GER40 + Hold JP225 + Mon GER40,0.25 / 0.19 / 0.56,0.3,False,8.9,52.3,-12.2,-4.5,-3.72,38/58,1.07,2022:-4.2 2023:+7.3 2024:+11.5 2025:+17.1 2026:+12.3,0.73
Hold GER40 + Hold JP225 + Mon NAS100,0.27 / 0.21 / 0.52,0.3,False,11.3,69.4,-9.9,-5.9,-3.23,42/58,1.31,2022:+1.3 2023:+17.8 2024:+12.2 2025:+16.5 2026:+6.8,1.14
Hold GER40 + Hold JP225 + Mon NZDJPY,0.17 / 0.13 / 0.71,0.3,False,7.3,41.3,-7.3,-2.8,-1.79,37/58,1.3,2022:-0.5 2023:+12.9 2024:+5.1 2025:+9.5 2026:+7.1,1.0
Hold GER40 + Hold JP225 + Mon US500,0.22 / 0.16 / 0.62,0.3,False,8.4,48.7,-10.5,-4.9,-2.71,39/58,1.2,2022:-2.2 2023:+14.8 2024:+8.5 2025:+13.6 2026:+6.2,0.8
Hold GER40 + Hold JP225 + Mon USDJPY,0.15 / 0.11 / 0.74,0.3,False,5.9,32.7,-5.6,-3.7,-1.6,38/58,1.21,2022:+4.4 2023:+8.2 2024:+7.1 2025:+4.5 2026:+2.8,1.05
Hold GER40 + Hold JP225 + Roll AUDJPY,0.07 / 0.05 / 0.88,0.3,True,3.1,16.4,-2.6,-1.0,-0.79,39/59,1.34,2022:-0.6 2023:+5.3 2024:+3.4 2025:+5.3 2026:+2.0,1.19
Hold GER40 + Hold JP225 + Roll CADJPY,0.05 / 0.04 / 0.90,0.3,True,2.7,14.0,-2.5,-1.1,-0.61,39/58,1.49,2022:-1.0 2023:+5.3 2024:+3.8 2025:+4.0 2026:+1.2,1.08
Hold GER40 + Hold JP225 + Roll EURJPY,0.05 / 0.04 / 0.92,0.3,True,2.6,13.3,-1.7,-0.7,-0.53,39/59,1.63,2022:-0.6 2023:+4.6 2024:+3.6 2025:+3.9 2026:+1.1,1.53
Hold GER40 + Hold JP225 + Roll GBPJPY,0.05 / 0.04 / 0.91,0.3,True,3.3,17.3,-1.9,-0.9,-0.57,41/59,1.91,2022:-0.1 2023:+5.4 2024:+4.4 2025:+4.6 2026:+1.8,1.74
Hold GER40 + Hold JP225 + Roll USDJPY,0.07 / 0.05 / 0.89,0.3,True,3.6,19.1,-3.3,-1.4,-0.73,42/59,1.67,2022:-1.3 2023:+6.5 2024:+4.7 2025:+6.2 2026:+1.7,1.09
Hold GER40 + Hold JP225 + TSMOM XAUUSD,0.36 / 0.27 / 0.36,0.3,False,12.8,80.4,-14.9,-11.3,-4.42,39/58,1.03,2022:-8.7 2023:+11.5 2024:+22.4 2025:+32.4 2026:+10.2,0.86
Hold GER40 + Hold JP225 + v4 AUDUSD,0.17 / 0.13 / 0.71,0.3,False,6.0,33.3,-6.6,-3.5,-2.22,41/58,1.05,2022:-3.0 2023:+13.9 2024:+4.1 2025:+9.2 2026:+4.4,0.91
Hold GER40 + Hold UK100 + Hold US500,0.30 / 0.40 / 0.30,0.75,False,10.2,60.9,-18.8,-8.2,-5.26,39/58,0.82,2022:-9.5 2023:+14.0 2024:+14.2 2025:+20.3 2026:+7.0,0.54
Hold GER40 + Hold UK100 + Hold XAUUSD,0.30 / 0.41 / 0.28,0.75,False,12.3,76.5,-14.3,-9.0,-4.33,38/58,1.03,2022:-3.5 2023:+11.0 2024:+15.2 2025:+32.9 2026:+3.4,0.86
Hold GER40 + Hold UK100 + Mon AUDJPY,0.16 / 0.21 / 0.63,0.75,False,7.4,42.1,-5.4,-3.4,-1.82,39/58,1.25,2022:+0.7 2023:+10.1 2024:+4.4 2025:+10.6 2026:+6.6,1.37
Hold GER40 + Hold UK100 + Mon CADJPY,0.15 / 0.20 / 0.66,0.75,False,5.6,30.8,-4.9,-3.6,-1.72,37/58,1.03,2022:+3.3 2023:+7.4 2024:+4.2 2025:+7.3 2026:+2.5,1.14
Hold GER40 + Hold UK100 + Mon CHFJPY,0.13 / 0.18 / 0.69,0.75,False,5.6,30.5,-5.8,-3.5,-1.54,37/58,1.11,2022:+2.5 2023:+8.6 2024:+4.2 2025:+7.0 2026:+2.4,0.97
Hold GER40 + Hold UK100 + Mon EURJPY,0.13 / 0.18 / 0.68,0.75,False,6.0,33.3,-4.9,-2.7,-1.62,39/58,1.18,2022:+4.0 2023:+7.9 2024:+3.6 2025:+7.8 2026:+3.7,1.22
Hold GER40 + Hold UK100 + Mon GBPJPY,0.14 / 0.19 / 0.67,0.75,False,7.5,42.9,-5.6,-2.7,-1.64,38/58,1.4,2022:+3.9 2023:+8.4 2024:+5.8 2025:+10.1 2026:+6.0,1.34
Hold GER40 + Hold UK100 + Mon GBPUSD,0.13 / 0.18 / 0.69,0.75,False,4.8,26.1,-7.3,-3.1,-2.26,36/58,0.96,2022:-2.5 2023:+5.4 2024:+3.0 2025:+11.2 2026:+6.0,0.66
Hold GER40 + Hold UK100 + Mon GER40,0.22 / 0.30 / 0.49,0.75,False,7.5,42.9,-11.5,-3.7,-3.22,38/58,0.91,2022:-2.0 2023:+3.0 2024:+8.1 2025:+16.6 2026:+9.6,0.65
Hold GER40 + Hold UK100 + Mon NAS100,0.23 / 0.32 / 0.45,0.75,False,9.5,55.9,-10.8,-6.3,-2.74,39/58,1.13,2022:+3.0 2023:+11.3 2024:+8.3 2025:+16.1 2026:+4.9,0.88
Hold GER40 + Hold UK100 + Mon NZDJPY,0.15 / 0.21 / 0.64,0.75,False,6.5,36.2,-6.7,-3.4,-1.76,40/58,1.14,2022:+0.7 2023:+9.3 2024:+3.4 2025:+9.8 2026:+5.8,0.97
Hold GER40 + Hold UK100 + Mon US500,0.19 / 0.26 / 0.55,0.75,False,7.2,41.0,-10.8,-5.4,-2.23,37/58,1.04,2022:-0.4 2023:+9.9 2024:+5.9 2025:+13.6 2026:+4.7,0.67
Hold GER40 + Hold UK100 + Mon USDJPY,0.14 / 0.19 / 0.68,0.75,False,5.3,29.0,-4.9,-3.3,-1.84,38/58,1.06,2022:+5.2 2023:+5.4 2024:+5.4 2025:+5.2 2026:+2.0,1.08
Hold GER40 + Hold UK100 + Roll AUDJPY,0.07 / 0.09 / 0.84,0.75,True,3.0,15.5,-2.4,-1.3,-0.79,36/59,1.19,2022:-0.0 2023:+4.1 2024:+2.7 2025:+5.6 2026:+1.6,1.25
Hold GER40 + Hold UK100 + Roll CADJPY,0.05 / 0.07 / 0.88,0.75,True,2.6,13.3,-2.6,-1.3,-0.62,38/58,1.33,2022:-0.5 2023:+4.3 2024:+3.2 2025:+4.3 2026:+0.9,1.0
Hold GER40 + Hold UK100 + Roll EURJPY,0.05 / 0.06 / 0.89,0.75,True,2.5,12.7,-1.8,-0.9,-0.54,37/59,1.44,2022:-0.2 2023:+3.7 2024:+3.2 2025:+4.1 2026:+0.9,1.39
Hold GER40 + Hold UK100 + Roll GBPJPY,0.05 / 0.07 / 0.88,0.75,True,3.2,16.6,-1.7,-1.2,-0.58,41/59,1.7,2022:+0.3 2023:+4.5 2024:+3.9 2025:+4.9 2026:+1.6,1.88
Hold GER40 + Hold UK100 + Roll USDJPY,0.06 / 0.09 / 0.85,0.75,True,3.4,18.1,-3.4,-1.5,-0.73,41/59,1.48,2022:-0.8 2023:+5.3 2024:+4.0 2025:+6.5 2026:+1.4,1.0
Hold GER40 + Hold UK100 + TSMOM XAUUSD,0.30 / 0.41 / 0.30,0.75,False,10.1,60.7,-11.9,-9.1,-4.3,38/58,0.92,2022:-5.0 2023:+4.7 2024:+15.4 2025:+28.8 2026:+7.2,0.85
Hold GER40 + Hold UK100 + v4 AUDUSD,0.15 / 0.21 / 0.64,0.75,False,5.3,29.2,-7.5,-3.8,-1.78,34/58,0.93,2022:-1.5 2023:+10.1 2024:+2.5 2025:+9.6 2026:+3.4,0.71
Hold GER40 + Hold US500 + Hold XAUUSD,0.34 / 0.34 / 0.32,0.44,False,13.7,87.7,-20.1,-8.7,-4.61,40/58,1.1,2022:-10.9 2023:+19.2 2024:+22.9 2025:+32.9 2026:+1.8,0.68
Hold GER40 + Hold US500 + Mon AUDJPY,0.16 / 0.17 / 0.67,0.44,False,7.8,44.6,-8.1,-3.7,-2.07,38/58,1.3,2022:-2.8 2023:+13.9 2024:+7.1 2025:+9.4 2026:+5.9,0.96
Hold GER40 + Hold US500 + Mon CADJPY,0.15 / 0.15 / 0.69,0.44,False,5.9,32.3,-6.5,-3.1,-1.79,40/58,1.08,2022:+0.1 2023:+10.7 2024:+6.7 2025:+6.0 2026:+1.7,0.91
Hold GER40 + Hold US500 + Mon CHFJPY,0.14 / 0.14 / 0.72,0.44,False,5.8,31.8,-7.4,-3.2,-1.72,40/58,1.18,2022:-0.4 2023:+11.7 2024:+6.4 2025:+5.9 2026:+1.6,0.78
Hold GER40 + Hold US500 + Mon EURJPY,0.14 / 0.14 / 0.72,0.44,False,6.3,34.9,-6.0,-2.7,-1.72,40/58,1.24,2022:+1.1 2023:+11.0 2024:+5.9 2025:+6.7 2026:+3.0,1.05
Hold GER40 + Hold US500 + Mon GBPJPY,0.15 / 0.15 / 0.71,0.44,False,7.9,45.1,-7.0,-2.9,-1.99,43/58,1.47,2022:+0.8 2023:+11.6 2024:+8.3 2025:+9.0 2026:+5.4,1.13
Hold GER40 + Hold US500 + Mon GBPUSD,0.14 / 0.14 / 0.73,0.44,False,5.0,27.1,-9.5,-3.4,-1.67,37/58,1.0,2022:-5.5 2023:+8.2 2024:+5.2 2025:+10.2 2026:+5.4,0.53
Hold GER40 + Hold US500 + Mon GER40,0.23 / 0.24 / 0.53,0.44,False,8.1,46.4,-15.3,-4.6,-3.36,38/58,0.95,2022:-7.1 2023:+7.5 2024:+12.4 2025:+15.2 2026:+8.9,0.53
Hold GER40 + Hold US500 + Mon NAS100,0.26 / 0.26 / 0.49,0.44,False,10.2,61.0,-13.6,-7.0,-3.21,38/58,1.13,2022:-2.4 2023:+17.4 2024:+13.1 2025:+14.6 2026:+3.7,0.75
Hold GER40 + Hold US500 + Mon NZDJPY,0.16 / 0.16 / 0.68,0.44,False,6.8,38.1,-9.4,-3.7,-1.98,40/58,1.19,2022:-2.6 2023:+12.9 2024:+5.9 2025:+8.6 2026:+5.1,0.72
Hold GER40 + Hold US500 + Mon US500,0.20 / 0.21 / 0.59,0.44,False,7.7,43.8,-13.5,-5.9,-2.73,37/58,1.03,2022:-4.9 2023:+14.6 2024:+9.4 2025:+12.2 2026:+3.7,0.57
Hold GER40 + Hold US500 + Mon USDJPY,0.14 / 0.14 / 0.71,0.44,False,5.5,30.3,-5.5,-2.9,-1.57,40/58,1.12,2022:+2.2 2023:+8.3 2024:+7.8 2025:+3.9 2026:+1.3,1.0
Hold GER40 + Hold US500 + Roll AUDJPY,0.07 / 0.07 / 0.86,0.44,True,3.0,15.7,-3.4,-1.4,-0.76,40/59,1.25,2022:-1.5 2023:+5.4 2024:+3.8 2025:+5.0 2026:+1.3,0.88
Hold GER40 + Hold US500 + Roll CADJPY,0.05 / 0.05 / 0.89,0.44,True,2.6,13.5,-3.4,-1.4,-0.59,38/58,1.4,2022:-1.7 2023:+5.4 2024:+4.1 2025:+3.8 2026:+0.6,0.76
Hold GER40 + Hold US500 + Roll EURJPY,0.05 / 0.05 / 0.91,0.44,True,2.5,12.8,-2.5,-0.9,-0.52,38/59,1.52,2022:-1.2 2023:+4.6 2024:+3.9 2025:+3.7 2026:+0.6,1.0
Hold GER40 + Hold US500 + Roll GBPJPY,0.05 / 0.05 / 0.90,0.44,True,3.2,16.8,-2.4,-1.2,-0.56,41/59,1.79,2022:-0.8 2023:+5.5 2024:+4.7 2025:+4.4 2026:+1.3,1.33
Hold GER40 + Hold US500 + Roll USDJPY,0.06 / 0.06 / 0.87,0.44,True,3.5,18.4,-4.4,-1.6,-0.7,43/59,1.55,2022:-2.2 2023:+6.6 2024:+5.1 2025:+5.9 2026:+1.0,0.8
Hold GER40 + Hold US500 + TSMOM XAUUSD,0.33 / 0.34 / 0.33,0.44,False,11.3,69.0,-18.0,-8.8,-4.56,39/58,0.99,2022:-12.1 2023:+11.5 2024:+23.0 2025:+28.3 2026:+6.0,0.63
Hold GER40 + Hold US500 + v4 AUDUSD,0.16 / 0.16 / 0.68,0.44,False,5.6,30.6,-9.4,-4.1,-1.76,37/58,1.0,2022:-5.0 2023:+13.8 2024:+5.0 2025:+8.4 2026:+2.6,0.6
Hold GER40 + Hold XAUUSD + Mon AUDJPY,0.17 / 0.15 / 0.68,0.12,False,8.8,51.6,-5.6,-2.7,-1.81,41/58,1.6,2022:+0.6 2023:+12.2 2024:+7.5 2025:+15.4 2026:+4.1,1.57
Hold GER40 + Hold XAUUSD + Mon CADJPY,0.15 / 0.14 / 0.70,0.12,False,6.8,38.1,-4.7,-4.0,-1.54,39/58,1.38,2022:+3.3 2023:+9.2 2024:+7.0 2025:+11.4 2026:-0.1,1.45
Hold GER40 + Hold XAUUSD + Mon CHFJPY,0.14 / 0.13 / 0.73,0.12,False,6.6,37.0,-6.0,-3.9,-1.5,43/58,1.46,2022:+2.5 2023:+10.2 2024:+6.8 2025:+10.6 2026:+0.1,1.1
Hold GER40 + Hold XAUUSD + Mon EURJPY,0.14 / 0.13 / 0.73,0.12,False,7.1,40.3,-4.1,-3.0,-1.62,44/58,1.54,2022:+4.1 2023:+9.5 2024:+6.2 2025:+11.6 2026:+1.4,1.73
Hold GER40 + Hold XAUUSD + Mon GBPJPY,0.15 / 0.14 / 0.72,0.12,False,8.8,51.4,-4.5,-2.6,-1.76,46/58,1.8,2022:+3.9 2023:+10.1 2024:+8.6 2025:+14.2 2026:+3.8,1.96
Hold GER40 + Hold XAUUSD + Mon GBPUSD,0.14 / 0.13 / 0.73,0.14,False,5.8,31.9,-8.0,-2.5,-1.83,35/58,1.23,2022:-2.8 2023:+6.8 2024:+5.5 2025:+15.2 2026:+3.8,0.72
Hold GER40 + Hold XAUUSD + Mon GER40,0.24 / 0.22 / 0.54,0.14,False,9.6,57.0,-12.2,-3.7,-3.43,40/58,1.21,2022:-2.5 2023:+5.1 2024:+13.1 2025:+24.5 2026:+6.2,0.79
Hold GER40 + Hold XAUUSD + Mon NAS100,0.26 / 0.24 / 0.50,0.12,False,12.0,74.2,-11.3,-5.5,-2.49,40/58,1.46,2022:+3.1 2023:+14.7 2024:+13.9 2025:+24.7 2026:+0.7,1.06
Hold GER40 + Hold XAUUSD + Mon NZDJPY,0.16 / 0.15 / 0.69,0.12,False,7.8,44.5,-7.5,-2.7,-1.73,39/58,1.48,2022:+0.6 2023:+11.3 2024:+6.2 2025:+14.3 2026:+3.3,1.04
Hold GER40 + Hold XAUUSD + Mon US500,0.21 / 0.19 / 0.60,0.12,False,9.0,52.7,-11.1,-4.6,-2.14,40/58,1.36,2022:-0.7 2023:+12.5 2024:+10.0 2025:+20.0 2026:+1.4,0.81
Hold GER40 + Hold XAUUSD + Mon USDJPY,0.15 / 0.13 / 0.72,0.12,False,6.4,35.6,-4.6,-3.7,-1.39,40/58,1.45,2022:+5.3 2023:+6.8 2024:+8.1 2025:+8.8 2026:-0.3,1.39
Hold GER40 + Hold XAUUSD + Roll AUDJPY,0.07 / 0.06 / 0.87,0.12,True,3.4,17.8,-2.3,-1.0,-0.67,39/59,1.53,2022:-0.2 2023:+4.7 2024:+4.0 2025:+7.3 2026:+0.5,1.48
Hold GER40 + Hold XAUUSD + Roll CADJPY,0.05 / 0.05 / 0.90,0.12,True,2.9,15.1,-2.6,-1.1,-0.52,42/58,1.7,2022:-0.7 2023:+4.8 2024:+4.2 2025:+5.6 2026:+0.0,1.12
Hold GER40 + Hold XAUUSD + Roll EURJPY,0.05 / 0.04 / 0.91,0.12,True,2.7,14.2,-1.9,-0.7,-0.45,40/59,1.84,2022:-0.3 2023:+4.1 2024:+4.0 2025:+5.3 2026:+0.1,1.42
Hold GER40 + Hold XAUUSD + Roll GBPJPY,0.05 / 0.05 / 0.90,0.12,True,3.5,18.3,-1.7,-0.9,-0.49,43/59,2.14,2022:+0.2 2023:+5.0 2024:+4.8 2025:+6.1 2026:+0.7,2.06
Hold GER40 + Hold XAUUSD + Roll USDJPY,0.06 / 0.06 / 0.88,0.12,True,3.9,20.4,-3.4,-1.4,-0.62,43/59,1.87,2022:-0.9 2023:+6.0 2024:+5.2 2025:+8.1 2026:+0.3,1.15
Hold GER40 + Hold XAUUSD + TSMOM XAUUSD,0.34 / 0.32 / 0.34,0.68,False,13.4,85.2,-14.4,-10.8,-7.15,38/58,1.04,2022:-6.0 2023:+8.0 2024:+24.1 2025:+43.2 2026:+1.6,0.93
Hold GER40 + Hold XAUUSD + v4 AUDUSD,0.16 / 0.15 / 0.69,0.12,False,6.6,36.6,-7.6,-3.4,-1.63,43/58,1.27,2022:-1.8 2023:+12.1 2024:+5.3 2025:+14.1 2026:+0.8,0.87
Hold GER40 + Mon AUDJPY + Mon CADJPY,0.10 / 0.42 / 0.47,0.8,False,5.3,28.7,-3.0,-1.3,-1.46,39/58,1.32,2022:+3.8 2023:+9.1 2024:+2.6 2025:+4.2 2026:+3.0,1.77
Hold GER40 + Mon AUDJPY + Mon CHFJPY,0.10 / 0.39 / 0.51,0.59,False,5.3,28.6,-3.2,-1.7,-1.44,38/58,1.47,2022:+3.2 2023:+9.8 2024:+2.7 2025:+4.2 2026:+2.9,1.66
Hold GER40 + Mon AUDJPY + Mon EURJPY,0.10 / 0.40 / 0.50,0.67,False,5.6,30.6,-2.9,-1.3,-1.52,39/58,1.5,2022:+4.4 2023:+9.3 2024:+2.2 2025:+4.8 2026:+3.8,1.93
Hold GER40 + Mon AUDJPY + Mon GBPJPY,0.10 / 0.41 / 0.49,0.72,False,6.7,37.3,-3.2,-1.4,-1.62,42/58,1.71,2022:+4.2 2023:+9.7 2024:+3.8 2025:+6.3 2026:+5.6,2.09
Hold GER40 + Mon AUDJPY + Mon GBPUSD,0.10 / 0.39 / 0.51,0.29,False,4.7,25.4,-4.8,-1.8,-1.4,40/58,1.41,2022:-0.5 2023:+7.4 2024:+1.9 2025:+7.3 2026:+5.5,0.98
Hold GER40 + Mon AUDJPY + Mon GER40,0.14 / 0.56 / 0.31,0.19,False,6.4,35.8,-6.0,-1.9,-2.04,36/58,1.38,2022:+0.7 2023:+6.8 2024:+4.5 2025:+8.9 2026:+7.7,1.07
Hold GER40 + Mon AUDJPY + Mon NAS100,0.14 / 0.58 / 0.27,0.28,False,7.5,42.8,-4.2,-3.1,-1.66,42/58,1.58,2022:+4.0 2023:+12.1 2024:+4.5 2025:+8.2 2026:+4.7,1.79
Hold GER40 + Mon AUDJPY + Mon NZDJPY,0.11 / 0.43 / 0.46,0.9,False,5.9,32.4,-3.6,-1.9,-1.58,39/58,1.4,2022:+2.0 2023:+10.5 2024:+1.9 2025:+5.8 2026:+5.4,1.64
Hold GER40 + Mon AUDJPY + Mon US500,0.13 / 0.51 / 0.36,0.35,False,6.3,35.0,-5.0,-2.9,-1.81,41/58,1.46,2022:+1.5 2023:+11.1 2024:+3.4 2025:+7.6 2026:+4.6,1.26
Hold GER40 + Mon AUDJPY + Mon USDJPY,0.10 / 0.41 / 0.50,0.48,False,5.1,27.5,-2.5,-1.0,-1.09,38/58,1.44,2022:+5.2 2023:+7.5 2024:+3.5 2025:+2.8 2026:+2.7,2.04
Hold GER40 + Mon AUDJPY + Roll AUDJPY,0.06 / 0.23 / 0.71,0.04,True,3.2,16.6,-1.5,-0.8,-0.5,35/59,1.81,2022:+0.8 2023:+5.5 2024:+2.1 2025:+4.2 2026:+2.0,2.13
Hold GER40 + Mon AUDJPY + Roll CADJPY,0.05 / 0.19 / 0.77,0.04,True,2.8,14.5,-1.5,-0.9,-0.4,40/58,1.98,2022:+0.1 2023:+5.4 2024:+2.6 2025:+3.3 2026:+1.3,1.87
Hold GER40 + Mon AUDJPY + Roll EURJPY,0.04 / 0.17 / 0.79,0.04,True,2.7,13.8,-1.1,-0.6,-0.36,37/59,2.12,2022:+0.4 2023:+4.8 2024:+2.6 2025:+3.3 2026:+1.3,2.45
Hold GER40 + Mon AUDJPY + Roll GBPJPY,0.04 / 0.18 / 0.78,0.04,True,3.3,17.3,-1.0,-0.8,-0.38,45/59,2.43,2022:+0.9 2023:+5.5 2024:+3.2 2025:+3.9 2026:+1.9,3.3
Hold GER40 + Mon AUDJPY + Roll USDJPY,0.05 / 0.22 / 0.73,0.04,True,3.6,18.8,-1.9,-1.0,-0.47,43/59,2.17,2022:+0.1 2023:+6.5 2024:+3.2 2025:+5.0 2026:+1.8,1.89
Hold GER40 + Mon AUDJPY + TSMOM XAUUSD,0.17 / 0.67 / 0.16,0.04,False,7.7,44.1,-5.9,-2.4,-1.71,37/58,1.5,2022:-0.4 2023:+8.6 2024:+7.7 2025:+13.6 2026:+6.1,1.31
Hold GER40 + Mon AUDJPY + v4 AUDUSD,0.11 / 0.44 / 0.46,0.06,False,5.1,27.7,-3.6,-2.1,-1.38,37/58,1.51,2022:+0.5 2023:+11.1 2024:+1.4 2025:+5.7 2026:+3.7,1.42
Hold GER40 + Mon CADJPY + Mon CHFJPY,0.09 / 0.42 / 0.49,0.66,False,4.2,22.4,-3.1,-2.1,-1.29,36/58,1.22,2022:+4.8 2023:+8.1 2024:+2.6 2025:+2.5 2026:+0.4,1.35
Hold GER40 + Mon CADJPY + Mon EURJPY,0.09 / 0.43 / 0.48,0.71,False,4.5,24.2,-2.9,-1.7,-1.29,36/58,1.27,2022:+5.9 2023:+7.7 2024:+2.2 2025:+2.9 2026:+1.3,1.55
Hold GER40 + Mon CADJPY + Mon GBPJPY,0.10 / 0.44 / 0.47,0.72,False,5.5,30.1,-3.2,-1.5,-1.46,38/58,1.5,2022:+5.8 2023:+8.0 2024:+3.7 2025:+4.3 2026:+2.9,1.72
Hold GER40 + Mon CADJPY + Mon GBPUSD,0.09 / 0.42 / 0.49,0.12,False,3.7,19.6,-3.7,-1.3,-1.26,37/58,1.26,2022:+1.1 2023:+5.9 2024:+1.8 2025:+5.3 2026:+2.9,1.0
Hold GER40 + Mon CADJPY + Mon GER40,0.13 / 0.58 / 0.29,0.14,False,4.9,26.5,-5.0,-2.1,-2.05,34/58,1.15,2022:+3.0 2023:+4.7 2024:+4.3 2025:+6.0 2026:+3.9,0.98
Hold GER40 + Mon CADJPY + Mon NAS100,0.13 / 0.61 / 0.26,0.21,False,5.8,32.2,-4.0,-2.4,-1.49,38/58,1.35,2022:+6.2 2023:+9.5 2024:+4.3 2025:+5.3 2026:+1.0,1.45
Hold GER40 + Mon CADJPY + Mon NZDJPY,0.10 / 0.46 / 0.44,0.76,False,4.7,25.3,-3.0,-1.5,-1.42,36/58,1.22,2022:+3.8 2023:+8.6 2024:+1.9 2025:+3.8 2026:+2.5,1.57
Hold GER40 + Mon CADJPY + Mon US500,0.12 / 0.54 / 0.34,0.26,False,4.9,26.4,-4.2,-2.2,-1.6,39/58,1.24,2022:+3.6 2023:+8.8 2024:+3.3 2025:+5.1 2026:+1.3,1.17
Hold GER40 + Mon CADJPY + Mon USDJPY,0.10 / 0.43 / 0.47,0.74,False,4.0,21.2,-3.4,-1.9,-1.45,39/58,1.13,2022:+6.7 2023:+5.9 2024:+3.4 2025:+1.1 2026:+0.2,1.18
Hold GER40 + Mon CADJPY + Roll AUDJPY,0.06 / 0.25 / 0.69,0.02,True,2.6,13.5,-1.4,-0.5,-0.47,35/59,1.54,2022:+1.7 2023:+4.6 2024:+2.1 2025:+3.1 2026:+0.6,1.86
Hold GER40 + Mon CADJPY + Roll CADJPY,0.05 / 0.20 / 0.75,0.02,True,2.3,12.1,-1.4,-0.7,-0.39,37/58,1.71,2022:+0.9 2023:+4.7 2024:+2.6 2025:+2.5 2026:+0.2,1.64
Hold GER40 + Mon CADJPY + Roll EURJPY,0.04 / 0.18 / 0.78,0.02,True,2.3,11.7,-1.0,-0.5,-0.34,39/59,1.85,2022:+1.1 2023:+4.1 2024:+2.6 2025:+2.5 2026:+0.3,2.3
Hold GER40 + Mon CADJPY + Roll GBPJPY,0.04 / 0.20 / 0.76,0.02,True,2.9,14.9,-1.1,-0.6,-0.36,43/59,2.17,2022:+1.6 2023:+4.9 2024:+3.2 2025:+3.1 2026:+0.8,2.64
Hold GER40 + Mon CADJPY + Roll USDJPY,0.05 / 0.24 / 0.71,0.02,True,3.0,15.8,-2.0,-0.9,-0.46,43/59,1.9,2022:+1.0 2023:+5.6 2024:+3.2 2025:+4.0 2026:+0.5,1.5
Hold GER40 + Mon CADJPY + TSMOM XAUUSD,0.15 / 0.69 / 0.15,0.02,False,5.8,31.8,-4.7,-4.0,-1.59,36/58,1.25,2022:+2.4 2023:+5.9 2024:+7.3 2025:+9.8 2026:+1.8,1.23
Hold GER40 + Mon CADJPY + v4 AUDUSD,0.10 / 0.46 / 0.43,0.06,False,3.9,21.0,-3.2,-1.6,-1.14,37/58,1.26,2022:+2.3 2023:+9.1 2024:+1.4 2025:+3.7 2026:+0.9,1.22
Hold GER40 + Mon CHFJPY + Mon EURJPY,0.09 / 0.46 / 0.45,0.79,False,4.5,24.4,-2.8,-1.6,-1.29,38/58,1.33,2022:+5.2 2023:+8.4 2024:+2.3 2025:+3.0 2026:+1.3,1.61
Hold GER40 + Mon CHFJPY + Mon GBPJPY,0.09 / 0.47 / 0.44,0.66,False,5.5,29.9,-2.9,-1.3,-1.44,41/58,1.6,2022:+5.1 2023:+8.7 2024:+3.7 2025:+4.3 2026:+2.8,1.9
