family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
前金曜がJP祝日 除外(改良系),Mon7,該当月曜を建てない,27,39,0.692,10.64,161,0.011851351235236507,14,19,5.06,69,0.58,False
翌火曜が豪NZ祝日 除外(改良系),AUD+NZD,該当月曜を建てない,23,39,0.59,10.2,162,0.1683918175949657,15,19,11.38,69,0.551,False
前金曜がJP祝日 のみ,Mon7,該当月曜のみ o2o L,5,9,0.556,-0.19,9,0.5,1,3,12.8,14,0.571,False
翌火曜が豪NZ祝日 のみ,AUD+NZD,該当月曜のみ o2o L,3,8,0.375,-5.85,8,0.85546875,0,0,,9,0.333,False
