year,1,2,3,4,5,6,7,8,9,10,11,12,年間,年内最大DD,+月
2021,,,,,,,,,,-0.71,0.8,1.76,1.85,-0.67,2
2022,1.4,1.12,0.02,3.73,-1.33,1.78,0.0,3.61,2.78,0.97,-3.41,-2.16,8.55,-6.6,9
2023,-3.35,3.91,-0.48,1.76,0.69,-0.78,1.27,0.45,-0.53,0.87,-2.62,-0.28,0.7,-3.77,6
2024,0.29,0.56,1.21,1.7,-1.4,1.94,0.0,-2.19,1.07,1.34,0.35,0.2,5.1,-2.63,10
2025,1.44,0.39,0.55,3.22,-2.55,1.84,1.33,-1.05,0.34,0.75,-0.62,0.47,6.18,-3.46,9
2026,0.55,-1.55,3.04,1.61,0.66,1.44,-0.64,-0.7,-0.08,,,,4.33,-2.08,5
