family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
Mon4 ロンドン窓のみ 07→16(改良系),Mon4,単発 LONG 9h,28,39,0.718,9.13,168,0.004737652139738202,15,20,3.45,69,0.42,False
Mon2 ロンドン窓のみ 07→16(改良系),Mon2,単発 LONG 9h,26,39,0.667,9.65,168,0.026625957048963755,15,20,6.39,69,0.522,False
"Mon4 ショット {7,8,9,10} 24h(改良系)",Mon4,4 ショット 24h 前倒しなし・ロンドン開始,25,39,0.641,8.68,169,0.054064510703028645,12,20,4.76,69,0.551,False
"Mon2 ショット {7,8,9,10} 24h(改良系)",Mon2,4 ショット 24h 前倒しなし・ロンドン開始,24,39,0.615,9.02,169,0.09979543345980346,12,20,7.33,69,0.507,False
