t,open,high,low,close,volume
2026-06-01 00:00:00,203.806,203.823,203.65,203.704,8109.77978515625
2026-06-01 01:00:00,203.703,203.74,203.654,203.678,6060.919921875
2026-06-01 02:00:00,203.677,203.688,203.566,203.617,4860.83984375
2026-06-01 03:00:00,203.617,203.693,203.568,203.618,4243.60009765625
2026-06-01 04:00:00,203.619,203.654,203.602,203.64,2103.14990234375
2026-06-01 05:00:00,203.642,203.773,203.642,203.749,4885.1201171875
2026-06-01 06:00:00,203.75,203.856,203.655,203.841,7307.8701171875
2026-06-01 07:00:00,203.841,203.879,203.5,203.613,7525.0
2026-06-01 08:00:00,203.613,203.67,203.505,203.602,5683.52001953125
2026-06-01 09:00:00,203.6,203.653,203.31,203.376,6541.35009765625
2026-06-01 10:00:00,203.379,203.402,203.272,203.395,3985.169921875
2026-06-01 11:00:00,203.396,203.443,203.315,203.414,5182.39013671875
2026-06-01 12:00:00,203.413,203.503,203.11,203.131,10533.259765625
2026-06-01 13:00:00,203.129,203.16,202.608,202.64,23641.0
2026-06-01 14:00:00,202.646,202.888,202.548,202.86,18705.80078125
2026-06-01 15:00:00,202.861,203.006,202.727,202.905,12809.0703125
2026-06-01 16:00:00,202.905,202.961,202.782,202.947,9636.7998046875
2026-06-01 17:00:00,202.947,203.121,202.847,203.042,11460.1201171875
2026-06-01 18:00:00,203.043,203.152,202.996,203.143,5093.47021484375
2026-06-01 19:00:00,203.141,203.141,202.982,203.01,4134.39013671875
2026-06-01 20:00:00,203.01,203.057,202.862,202.862,2579.719970703125
2026-06-01 21:00:00,202.818,202.865,202.708,202.799,2692.030029296875
2026-06-01 22:00:00,202.85,202.939,202.85,202.931,1515.43994140625
2026-06-01 23:00:00,202.932,203.013,202.923,203.006,1359.510009765625
2026-06-02 00:00:00,203.008,203.032,202.864,202.884,4805.33984375
2026-06-02 01:00:00,202.887,202.994,202.874,202.943,5324.81005859375
2026-06-02 02:00:00,202.943,203.015,202.938,203.0,3697.889892578125
2026-06-02 03:00:00,203.0,203.097,203.0,203.063,1882.0699462890625
2026-06-02 04:00:00,203.062,203.158,203.056,203.148,2076.489990234375
2026-06-02 05:00:00,203.146,203.17,203.074,203.136,3851.1201171875
2026-06-02 06:00:00,203.141,203.593,203.119,203.526,7807.81005859375
2026-06-02 07:00:00,203.526,203.572,203.343,203.424,7192.10009765625
2026-06-02 08:00:00,203.427,203.533,203.165,203.238,5715.85009765625
2026-06-02 09:00:00,203.238,203.274,203.172,203.262,4363.81005859375
2026-06-02 10:00:00,203.261,203.356,203.208,203.35,3640.0
2026-06-02 11:00:00,203.35,203.492,203.3,203.463,4293.02978515625
2026-06-02 12:00:00,203.463,203.486,203.282,203.349,6845.31005859375
2026-06-02 13:00:00,203.347,203.468,203.112,203.154,11074.6396484375
2026-06-02 14:00:00,203.157,203.405,203.062,203.383,11747.5
2026-06-02 15:00:00,203.383,203.464,203.308,203.425,7119.4599609375
2026-06-02 16:00:00,203.426,203.426,203.099,203.133,4946.22021484375
2026-06-02 17:00:00,203.134,203.163,203.004,203.042,4798.669921875
2026-06-02 18:00:00,203.049,203.104,202.91,203.078,5621.39990234375
2026-06-02 19:00:00,203.077,203.23,203.077,203.206,4511.81982421875
2026-06-02 20:00:00,203.208,203.251,203.071,203.071,2805.14990234375
2026-06-02 21:00:00,203.022,203.177,202.872,203.071,2449.550048828125
2026-06-02 22:00:00,203.071,203.157,203.024,203.115,1259.31005859375
2026-06-02 23:00:00,203.117,203.136,202.9,202.903,3127.159912109375
2026-06-03 00:00:00,202.903,203.038,202.875,203.029,5774.77978515625
2026-06-03 01:00:00,203.028,203.038,202.898,202.93,3690.340087890625
2026-06-03 02:00:00,202.93,202.97,202.863,202.924,2249.75
2026-06-03 03:00:00,202.928,202.943,202.83,202.844,2625.929931640625
2026-06-03 04:00:00,202.843,202.861,202.752,202.799,2383.0
2026-06-03 05:00:00,202.8,202.835,202.756,202.762,4360.06982421875
2026-06-03 06:00:00,202.756,202.785,202.587,202.758,7356.43017578125
2026-06-03 07:00:00,202.753,202.831,202.246,202.311,12823.509765625
2026-06-03 08:00:00,202.313,202.417,201.938,202.339,10701.849609375
2026-06-03 09:00:00,202.343,202.552,202.343,202.419,4990.18017578125
2026-06-03 10:00:00,202.419,202.576,202.366,202.505,6124.2001953125
2026-06-03 11:00:00,202.506,202.693,202.491,202.649,5407.10986328125
2026-06-03 12:00:00,202.65,202.662,202.292,202.327,10678.240234375
2026-06-03 13:00:00,202.328,202.518,202.269,202.397,12658.5498046875
2026-06-03 14:00:00,202.386,202.533,202.172,202.442,16004.150390625
2026-06-03 15:00:00,202.443,202.46,202.272,202.281,10588.509765625
2026-06-03 16:00:00,202.281,202.292,201.931,202.012,9117.0703125
2026-06-03 17:00:00,202.02,202.028,201.91,201.968,4495.5
2026-06-03 18:00:00,201.967,201.975,201.889,201.958,3749.239990234375
2026-06-03 19:00:00,201.959,202.084,201.945,202.077,4879.0498046875
2026-06-03 20:00:00,202.076,202.11,201.968,201.968,2975.139892578125
2026-06-03 21:00:00,201.968,202.085,201.865,201.945,7868.8701171875
2026-06-03 22:00:00,201.961,202.084,201.961,202.063,3263.449951171875
2026-06-03 23:00:00,202.061,202.185,202.038,202.175,3918.889892578125
2026-06-04 00:00:00,202.173,202.21,202.086,202.086,7894.77001953125
2026-06-04 01:00:00,202.084,202.196,202.044,202.196,6121.14990234375
2026-06-04 02:00:00,202.199,202.284,202.141,202.265,4201.60009765625
2026-06-04 03:00:00,202.264,202.265,202.167,202.225,2328.4599609375
2026-06-04 04:00:00,202.226,202.251,201.892,202.19,4600.27001953125
2026-06-04 05:00:00,202.193,202.24,202.142,202.226,4355.18017578125
2026-06-04 06:00:00,202.23,202.273,201.996,202.057,7027.759765625
2026-06-04 07:00:00,202.053,202.108,201.835,201.933,7518.169921875
2026-06-04 08:00:00,201.934,202.204,201.899,202.126,6467.4599609375
2026-06-04 09:00:00,202.126,202.451,202.126,202.384,6886.06005859375
2026-06-04 10:00:00,202.382,202.59,202.369,202.505,5111.240234375
2026-06-04 11:00:00,202.506,203.076,202.499,202.971,10956.7802734375
2026-06-04 12:00:00,202.972,203.035,202.867,202.939,9993.0498046875
2026-06-04 13:00:00,202.938,203.001,202.807,202.937,13070.080078125
2026-06-04 14:00:00,202.935,203.005,202.741,202.948,11277.9501953125
2026-06-04 15:00:00,202.946,202.99,202.811,202.866,8288.4501953125
2026-06-04 16:00:00,202.866,202.886,202.751,202.773,4460.259765625
2026-06-04 17:00:00,202.772,202.802,202.744,202.792,3375.929931640625
