timestamp,open,high,low,close,volume
2003-01-01 00:00:00,1.0491,1.0506,1.0461,1.0489,172064.0
2003-01-02 00:00:00,1.049,1.0502,1.0331,1.0359,157161.0
2003-01-03 00:00:00,1.0355,1.0445,1.0335,1.0425,119225.0
2003-01-04 00:00:00,1.0425,1.0425,1.0425,1.0425,0.0
2003-01-05 00:00:00,1.0425,1.0425,1.0425,1.0425,0.0
2003-01-06 00:00:00,1.0419,1.05,1.041,1.0461,89419.0
2003-01-07 00:00:00,1.0459,1.0477,1.0392,1.0408,153096.0
2003-01-08 00:00:00,1.0406,1.0539,1.0356,1.0492,81290.0
2003-01-09 00:00:00,1.0493,1.0547,1.0443,1.0485,174774.0
2003-01-10 00:00:00,1.0484,1.0591,1.047,1.0573,77225.0
2003-01-11 00:00:00,1.0573,1.0573,1.0573,1.0573,0.0
2003-01-12 00:00:00,1.0573,1.0573,1.0573,1.0573,0.0
2003-01-13 00:00:00,1.0572,1.059,1.0522,1.0537,176129.0
2003-01-14 00:00:00,1.0534,1.0605,1.053,1.055,96193.0
2003-01-15 00:00:00,1.0551,1.0599,1.0499,1.0552,162580.0
2003-01-16 00:00:00,1.0556,1.0633,1.054,1.0612,142258.0
2003-01-17 00:00:00,1.0618,1.0685,1.0599,1.0667,170709.0
2003-01-18 00:00:00,1.0667,1.0667,1.0667,1.0667,0.0
2003-01-19 00:00:00,1.0667,1.0667,1.0667,1.0667,0.0
2003-01-20 00:00:00,1.0664,1.0697,1.0628,1.0673,98903.0
2003-01-21 00:00:00,1.0674,1.0741,1.0629,1.0727,47419.0
2003-01-22 00:00:00,1.0724,1.0747,1.068,1.0737,46064.0
2003-01-23 00:00:00,1.0728,1.0785,1.0701,1.0746,117871.0
2003-01-24 00:00:00,1.0741,1.0861,1.0736,1.0826,170709.0
2003-01-25 00:00:00,1.0826,1.0826,1.0826,1.0826,0.0
2003-01-26 00:00:00,1.0826,1.0826,1.0826,1.0826,0.0
