timestamp,open,high,low,close,volume
2015-06-01 00:00:00,94.942,95.176,94.606,95.075,154970.0625
2015-06-02 00:00:00,95.07,96.583,95.049,96.263,191235.671875
2015-06-03 00:00:00,96.263,96.987,96.263,96.592,164294.625
2015-06-04 00:00:00,96.592,96.718,95.419,95.614,176330.09375
2015-06-05 00:00:00,95.615,96.352,95.572,95.738,136540.15625
2015-06-06 00:00:00,95.738,95.738,95.738,95.738,0.0
2015-06-07 00:00:00,95.694,95.812,95.665,95.672,8508.400390625
2015-06-08 00:00:00,95.671,95.962,95.429,95.77,149448.125
2015-06-09 00:00:00,95.77,96.097,95.17,95.583,166526.125
2015-06-10 00:00:00,95.587,95.74,94.39,94.958,202289.828125
2015-06-11 00:00:00,94.958,95.819,94.762,95.76,174839.65625
2015-06-12 00:00:00,95.761,95.792,94.996,95.343,135482.265625
2015-06-13 00:00:00,95.343,95.343,95.343,95.343,0.0
2015-06-14 00:00:00,95.481,95.564,95.274,95.289,9522.26953125
2015-06-15 00:00:00,95.289,95.987,95.137,95.742,136265.359375
2015-06-16 00:00:00,95.742,96.002,95.404,95.616,125820.171875
2015-06-17 00:00:00,95.614,95.78,95.041,95.403,164901.609375
2015-06-18 00:00:00,95.403,96.311,94.948,95.821,169800.03125
2015-06-19 00:00:00,95.819,95.912,95.087,95.288,123560.75
2015-06-20 00:00:00,95.288,95.288,95.288,95.288,0.0
2015-06-21 00:00:00,95.475,95.511,95.301,95.339,9045.33984375
2015-06-22 00:00:00,95.339,95.833,95.255,95.385,115450.5703125
2015-06-23 00:00:00,95.386,95.953,95.187,95.913,118022.078125
2015-06-24 00:00:00,95.914,96.184,95.358,95.447,121100.3125
2015-06-25 00:00:00,95.449,95.807,95.42,95.558,109310.28125
2015-06-26 00:00:00,95.561,95.581,94.556,94.82,99287.109375
2015-06-27 00:00:00,94.82,94.82,94.82,94.82,0.0
2015-06-28 00:00:00,93.556,93.637,92.668,93.393,19262.490234375
2015-06-29 00:00:00,93.392,94.72,93.293,94.105,146791.234375
2015-06-30 00:00:00,94.1,94.458,93.616,94.163,152141.8125
2015-07-01 00:00:00,94.166,94.986,94.055,94.189,135453.203125
2015-07-02 00:00:00,94.187,94.433,93.649,93.972,127195.671875
2015-07-03 00:00:00,93.972,94.01,92.084,92.205,103399.1015625
2015-07-04 00:00:00,92.205,92.205,92.205,92.205,0.0
2015-07-05 00:00:00,91.16,91.851,90.954,91.636,13847.3798828125
2015-07-06 00:00:00,91.635,92.416,91.219,91.692,133903.359375
2015-07-07 00:00:00,91.69,92.021,90.433,91.343,151375.84375
2015-07-08 00:00:00,91.341,91.366,89.448,89.708,179486.0
2015-07-09 00:00:00,89.704,91.02,89.162,90.786,165130.265625
2015-07-10 00:00:00,90.785,91.784,90.636,91.281,133899.046875
2015-07-11 00:00:00,91.281,91.281,91.281,91.281,0.0
2015-07-12 00:00:00,90.567,91.278,90.567,90.897,9880.2802734375
2015-07-13 00:00:00,90.897,91.876,90.833,91.361,161058.515625
2015-07-14 00:00:00,91.361,91.997,91.324,91.833,138122.765625
2015-07-15 00:00:00,91.832,92.426,91.105,91.329,166040.796875
2015-07-16 00:00:00,91.331,92.212,91.019,92.048,145940.734375
2015-07-17 00:00:00,92.05,92.098,91.37,91.4,106900.15625
2015-07-18 00:00:00,91.4,91.4,91.4,91.4,0.0
2015-07-19 00:00:00,91.48,91.573,91.417,91.464,5906.02001953125
2015-07-20 00:00:00,91.464,91.813,90.997,91.656,131485.703125
2015-07-21 00:00:00,91.655,92.26,91.345,91.952,163995.640625
2015-07-22 00:00:00,91.95,92.004,91.197,91.476,155233.703125
2015-07-23 00:00:00,91.476,91.811,91.034,91.139,135579.953125
2015-07-24 00:00:00,91.142,91.196,89.931,90.102,124650.6796875
2015-07-25 00:00:00,90.102,90.102,90.102,90.102,0.0
2015-07-26 00:00:00,89.939,90.176,89.896,90.024,6947.35986328125
2015-07-27 00:00:00,90.024,90.216,89.531,89.687,152528.90625
2015-07-28 00:00:00,89.687,90.828,89.341,90.804,154328.546875
2015-07-29 00:00:00,90.801,90.821,90.288,90.432,141303.171875
2015-07-30 00:00:00,90.434,90.895,90.308,90.517,141823.296875
2015-07-31 00:00:00,90.517,91.019,89.929,90.416,139098.796875
2015-08-01 00:00:00,90.416,90.416,90.416,90.416,0.0
2015-08-02 00:00:00,90.664,90.664,90.492,90.492,9102.8095703125
2015-08-03 00:00:00,90.498,90.643,89.964,90.165,121768.2890625
2015-08-04 00:00:00,90.165,92.033,90.046,91.659,165160.609375
2015-08-05 00:00:00,91.664,91.906,91.254,91.7,159999.1875
2015-08-06 00:00:00,91.7,92.232,91.343,91.615,144634.375
2015-08-07 00:00:00,91.615,92.212,91.559,92.137,137252.703125
2015-08-08 00:00:00,92.137,92.137,92.137,92.137,0.0
2015-08-09 00:00:00,92.018,92.186,91.961,91.972,5783.830078125
2015-08-10 00:00:00,91.974,92.441,91.741,92.38,121165.5625
