timestamp,open,high,low,close,volume
2003-01-01 00:00:00,118.76,118.88,118.6,118.69,56005.0
2003-01-02 00:00:00,118.71,120.25,118.55,120.07,93342.0
2003-01-03 00:00:00,120.1,120.35,119.57,119.65,107343.0
2003-01-04 00:00:00,119.65,119.65,119.65,119.65,0.0
2003-01-05 00:00:00,119.65,119.65,119.65,119.65,0.0
2003-01-06 00:00:00,119.66,119.97,118.49,119.17,123211.0
2003-01-07 00:00:00,119.13,120.66,118.97,120.45,42003.0
2003-01-08 00:00:00,120.42,120.59,118.62,119.12,33603.0
2003-01-09 00:00:00,119.12,119.79,118.67,119.28,36403.0
2003-01-10 00:00:00,119.31,120.11,118.9,119.25,38270.0
2003-01-11 00:00:00,119.25,119.25,119.25,119.25,0.0
2003-01-12 00:00:00,119.25,119.25,119.25,119.25,0.0
2003-01-13 00:00:00,119.23,119.53,118.7,118.92,41070.0
2003-01-14 00:00:00,118.9,119.22,117.5,118.11,108276.0
2003-01-15 00:00:00,118.08,118.77,117.74,118.12,123211.0
2003-01-16 00:00:00,118.12,118.4,117.62,117.81,118544.0
2003-01-17 00:00:00,117.76,118.27,117.37,117.76,87741.0
2003-01-18 00:00:00,117.76,117.76,117.76,117.76,0.0
2003-01-19 00:00:00,117.76,117.76,117.76,117.76,0.0
2003-01-20 00:00:00,117.76,118.4,117.65,118.05,123211.0
2003-01-21 00:00:00,117.99,119.21,117.96,118.07,65339.0
2003-01-22 00:00:00,118.07,118.62,117.89,118.16,56938.0
2003-01-23 00:00:00,118.22,118.9,117.59,118.12,74673.0
2003-01-24 00:00:00,118.11,118.25,117.5,117.75,93342.0
2003-01-25 00:00:00,117.75,117.75,117.75,117.75,0.0
2003-01-26 00:00:00,117.75,117.75,117.75,117.75,0.0
2003-01-27 00:00:00,117.77,119.35,117.48,118.46,95208.0
2003-01-28 00:00:00,118.5,119.0,118.29,118.61,58805.0
2003-01-29 00:00:00,118.62,118.84,117.81,118.39,74673.0
2003-01-30 00:00:00,118.35,119.55,118.25,119.01,84007.0
2003-01-31 00:00:00,119.0,120.14,118.82,119.82,105476.0
2003-02-01 00:00:00,119.82,119.82,119.82,119.82,0.0
2003-02-02 00:00:00,119.82,119.82,119.82,119.82,0.0
2003-02-03 00:00:00,119.88,120.94,119.55,120.19,121344.0
2003-02-04 00:00:00,120.23,120.64,119.56,119.65,115744.0
2003-02-05 00:00:00,119.64,120.48,119.0,120.01,90541.0
2003-02-06 00:00:00,120.02,120.26,119.59,119.78,63472.0
2003-02-07 00:00:00,119.82,120.42,119.61,120.23,101742.0
2003-02-08 00:00:00,120.23,120.23,120.23,120.23,0.0
2003-02-09 00:00:00,120.23,120.23,120.23,120.23,0.0
2003-02-10 00:00:00,120.22,121.53,120.19,121.24,69073.0
2003-02-11 00:00:00,121.28,121.76,120.86,121.01,103609.0
2003-02-12 00:00:00,121.0,121.46,120.48,121.36,70006.0
2003-02-13 00:00:00,121.42,121.46,120.25,120.57,52271.0
2003-02-14 00:00:00,120.57,120.83,120.14,120.3,100809.0
2003-02-15 00:00:00,120.3,120.3,120.3,120.3,0.0
2003-02-16 00:00:00,120.3,120.3,120.3,120.3,0.0
2003-02-17 00:00:00,120.28,120.78,120.0,120.24,65339.0
2003-02-18 00:00:00,120.35,120.42,118.67,118.99,53204.0
2003-02-19 00:00:00,119.04,119.21,118.53,118.72,87741.0
2003-02-20 00:00:00,118.73,119.07,118.07,118.37,86808.0
2003-02-21 00:00:00,118.31,118.91,118.22,118.64,86808.0
2003-02-22 00:00:00,118.64,118.64,118.64,118.64,0.0
2003-02-23 00:00:00,118.64,118.64,118.64,118.64,0.0
2003-02-24 00:00:00,118.61,118.97,117.56,117.86,120411.0
2003-02-25 00:00:00,117.83,118.23,116.96,117.23,74673.0
2003-02-26 00:00:00,117.33,117.62,117.03,117.04,57872.0
2003-02-27 00:00:00,117.11,117.78,116.82,117.64,116677.0
2003-02-28 00:00:00,117.74,118.3,117.63,118.11,30802.0
2003-03-01 00:00:00,118.11,118.11,118.11,118.11,0.0
2003-03-02 00:00:00,118.11,118.11,118.11,118.11,0.0
2003-03-03 00:00:00,118.14,118.28,117.09,117.55,84941.0
2003-03-04 00:00:00,117.54,118.1,117.43,117.95,59738.0
2003-03-05 00:00:00,117.93,117.95,117.03,117.31,103343.0
2003-03-06 00:00:00,117.29,117.58,117.15,117.33,93342.0
2003-03-07 00:00:00,117.26,117.47,116.37,117.05,88341.0
2003-03-08 00:00:00,117.05,117.05,117.05,117.05,0.0
2003-03-09 00:00:00,117.05,117.05,117.05,117.05,0.0
2003-03-10 00:00:00,117.05,117.13,116.42,116.8,80007.0
2003-03-11 00:00:00,116.76,117.29,116.67,117.1,216687.0
2003-03-12 00:00:00,117.08,117.53,117.06,117.33,56672.0
2003-03-13 00:00:00,117.34,118.86,117.34,118.64,188351.0
2003-03-14 00:00:00,118.65,118.75,118.06,118.25,110010.0
2003-03-15 00:00:00,118.25,118.25,118.25,118.25,0.0
2003-03-16 00:00:00,118.25,118.25,118.25,118.25,0.0
2003-03-17 00:00:00,118.22,119.1,117.6,118.51,95009.0
2003-03-18 00:00:00,118.48,119.21,118.48,118.79,193352.0
2003-03-19 00:00:00,118.81,119.19,118.45,118.59,141680.0
2003-03-20 00:00:00,118.59,120.64,118.56,120.02,188351.0
2003-03-21 00:00:00,120.05,120.52,119.71,120.33,210020.0
2003-03-22 00:00:00,120.33,120.33,120.33,120.33,0.0
2003-03-23 00:00:00,120.33,120.33,120.33,120.33,0.0
2003-03-24 00:00:00,121.67,121.67,120.83,120.92,61672.0
2003-03-25 00:00:00,120.9,121.52,120.31,120.72,126679.0
2003-03-26 00:00:00,120.7,120.77,119.33,119.88,125012.0
2003-03-27 00:00:00,119.85,120.47,119.78,119.94,141680.0
2003-03-28 00:00:00,119.96,120.17,119.55,119.96,168349.0
2003-03-29 00:00:00,119.96,119.96,119.96,119.96,0.0
2003-03-30 00:00:00,119.96,119.96,119.96,119.96,0.0
2003-03-31 00:00:00,119.72,119.94,119.72,119.84,120011.0
2003-04-01 00:00:00,119.84,120.18,117.7,117.93,118344.0
2003-04-02 00:00:00,117.93,118.48,117.6,117.82,210020.0
2003-04-03 00:00:00,117.83,119.37,117.73,118.91,163349.0
2003-04-04 00:00:00,118.9,119.68,118.45,119.28,198352.0
2003-04-05 00:00:00,119.28,119.28,119.28,119.28,0.0
2003-04-06 00:00:00,119.28,119.28,119.28,119.28,0.0
2003-04-07 00:00:00,119.89,120.43,119.89,120.27,155015.0
2003-04-08 00:00:00,120.26,120.89,119.57,119.95,158348.0
2003-04-09 00:00:00,119.94,120.15,119.36,119.77,123345.0
2003-04-10 00:00:00,119.77,120.67,119.61,120.15,110010.0
